date,Arts_EG
2020-03-15,43
2020-03-22,41
2020-03-29,37
2020-04-05,41
2020-04-12,40
2020-04-19,33
2020-04-26,48
2020-05-03,43
2020-05-10,58
2020-05-17,58
2020-05-24,66
2020-05-31,65
2020-06-07,64
2020-06-14,54
2020-06-21,50
2020-06-28,43
2020-07-05,53
2020-07-12,62
2020-07-19,66
2020-07-26,44
2020-08-02,100
2020-08-09,76
2020-08-16,68
2020-08-23,49
2020-08-30,52
2020-09-06,51
2020-09-13,51
2020-09-20,48
2020-09-27,36
2020-10-04,41
2020-10-11,42
2020-10-18,46
2020-10-25,44
2020-11-01,43
2020-11-08,40
2020-11-15,56
2020-11-22,43
2020-11-29,41
2020-12-06,40
2020-12-13,52
2020-12-20,40
2020-12-27,36
2021-01-03,42
2021-01-10,47
2021-01-17,38
2021-01-24,34
2021-01-31,34
2021-02-07,39
2021-02-14,36
2021-02-21,35
2021-02-28,38
2021-03-07,32
2021-03-14,36
2021-03-21,43
2021-03-28,38
2021-04-04,40
2021-04-11,38
2021-04-18,32
2021-04-25,43
2021-05-02,62
2021-05-09,46
2021-05-16,40
2021-05-23,43
2021-05-30,49
2021-06-06,40
2021-06-13,40
2021-06-20,39
2021-06-27,37
2021-07-04,44
2021-07-11,38
2021-07-18,38
2021-07-25,43
2021-08-01,68
2021-08-08,57
2021-08-15,79
2021-08-22,55
2021-08-29,66
