date,Collecting_PK
2020-03-15,11
2020-03-22,100
2020-03-29,33
2020-04-05,23
2020-04-12,22
2020-04-19,47
2020-04-26,13
2020-05-03,37
2020-05-10,37
2020-05-17,39
2020-05-24,61
2020-05-31,66
2020-06-07,22
2020-06-14,53
2020-06-21,64
2020-06-28,0
2020-07-05,42
2020-07-12,43
2020-07-19,44
2020-07-26,25
2020-08-02,32
2020-08-09,52
2020-08-16,31
2020-08-23,31
2020-08-30,30
2020-09-06,10
2020-09-13,54
2020-09-20,22
2020-09-27,46
2020-10-04,58
2020-10-11,12
2020-10-18,36
2020-10-25,25
2020-11-01,35
2020-11-08,12
2020-11-15,61
2020-11-22,23
2020-11-29,22
2020-12-06,43
2020-12-13,43
2020-12-20,44
2020-12-27,44
2021-01-03,21
2021-01-10,11
2021-01-17,33
2021-01-24,33
2021-01-31,45
2021-02-07,42
2021-02-14,33
2021-02-21,31
2021-02-28,34
2021-03-07,57
2021-03-14,42
2021-03-21,11
2021-03-28,33
2021-04-04,32
2021-04-11,23
2021-04-18,57
2021-04-25,91
2021-05-02,36
2021-05-09,0
2021-05-16,42
2021-05-23,43
2021-05-30,42
2021-06-06,42
2021-06-13,40
2021-06-20,52
2021-06-27,22
2021-07-04,42
2021-07-11,10
2021-07-18,50
2021-07-25,10
2021-08-01,10
2021-08-08,0
2021-08-15,43
2021-08-22,21
2021-08-29,32
