date,Cooking_SA
2020-03-15,66
2020-03-22,85
2020-03-29,92
2020-04-05,77
2020-04-12,91
2020-04-19,99
2020-04-26,100
2020-05-03,95
2020-05-10,88
2020-05-17,77
2020-05-24,56
2020-05-31,52
2020-06-07,65
2020-06-14,64
2020-06-21,54
2020-06-28,57
2020-07-05,57
2020-07-12,52
2020-07-19,53
2020-07-26,52
2020-08-02,49
2020-08-09,54
2020-08-16,55
2020-08-23,52
2020-08-30,46
2020-09-06,46
2020-09-13,50
2020-09-20,42
2020-09-27,47
2020-10-04,47
2020-10-11,49
2020-10-18,39
2020-10-25,34
2020-11-01,41
2020-11-08,46
2020-11-15,44
2020-11-22,40
2020-11-29,38
2020-12-06,47
2020-12-13,47
2020-12-20,49
2020-12-27,44
2021-01-03,55
2021-01-10,51
2021-01-17,55
2021-01-24,47
2021-01-31,44
2021-02-07,46
2021-02-14,49
2021-02-21,53
2021-02-28,47
2021-03-07,46
2021-03-14,43
2021-03-21,45
2021-03-28,39
2021-04-04,37
2021-04-11,60
2021-04-18,67
2021-04-25,47
2021-05-02,42
2021-05-09,49
2021-05-16,45
2021-05-23,46
2021-05-30,49
2021-06-06,53
2021-06-13,46
2021-06-20,53
2021-06-27,51
2021-07-04,52
2021-07-11,42
2021-07-18,55
2021-07-25,50
2021-08-01,49
2021-08-08,49
2021-08-15,49
2021-08-22,47
2021-08-29,49
