date,Music_IT
2020-03-15,84
2020-03-22,96
2020-03-29,100
2020-04-05,93
2020-04-12,91
2020-04-19,93
2020-04-26,86
2020-05-03,84
2020-05-10,88
2020-05-17,82
2020-05-24,81
2020-05-31,76
2020-06-07,72
2020-06-14,72
2020-06-21,71
2020-06-28,69
2020-07-05,77
2020-07-12,72
2020-07-19,68
2020-07-26,63
2020-08-02,65
2020-08-09,71
2020-08-16,66
2020-08-23,65
2020-08-30,68
2020-09-06,65
2020-09-13,67
2020-09-20,67
2020-09-27,68
2020-10-04,71
2020-10-11,68
2020-10-18,68
2020-10-25,66
2020-11-01,66
2020-11-08,68
2020-11-15,77
2020-11-22,70
2020-11-29,77
2020-12-06,74
2020-12-13,71
2020-12-20,81
2020-12-27,78
2021-01-03,65
2021-01-10,71
2021-01-17,71
2021-01-24,73
2021-01-31,66
2021-02-07,70
2021-02-14,68
2021-02-21,67
2021-02-28,74
2021-03-07,87
2021-03-14,85
2021-03-21,84
2021-03-28,76
2021-04-04,75
2021-04-11,74
2021-04-18,75
2021-04-25,73
2021-05-02,71
2021-05-09,68
2021-05-16,71
2021-05-23,72
2021-05-30,72
2021-06-06,66
2021-06-13,70
2021-06-20,69
2021-06-27,61
2021-07-04,65
2021-07-11,64
2021-07-18,67
2021-07-25,61
2021-08-01,61
2021-08-08,64
2021-08-15,64
2021-08-22,60
2021-08-29,59
