date,Crafts_ES
2020-03-15,30
2020-03-22,29
2020-03-29,31
2020-04-05,65
2020-04-12,20
2020-04-19,27
2020-04-26,34
2020-05-03,31
2020-05-10,28
2020-05-17,25
2020-05-24,26
2020-05-31,26
2020-06-07,15
2020-06-14,22
2020-06-21,20
2020-06-28,22
2020-07-05,17
2020-07-12,28
2020-07-19,16
2020-07-26,16
2020-08-02,16
2020-08-09,17
2020-08-16,13
2020-08-23,17
2020-08-30,18
2020-09-06,23
2020-09-13,23
2020-09-20,20
2020-09-27,20
2020-10-04,22
2020-10-11,22
2020-10-18,25
2020-10-25,24
2020-11-01,22
2020-11-08,27
2020-11-15,28
2020-11-22,27
2020-11-29,23
2020-12-06,22
2020-12-13,19
2020-12-20,21
2020-12-27,13
2021-01-03,22
2021-01-10,26
2021-01-17,28
2021-01-24,22
2021-01-31,32
2021-02-07,20
2021-02-14,35
2021-02-21,29
2021-02-28,27
2021-03-07,22
2021-03-14,24
2021-03-21,23
2021-03-28,100
2021-04-04,22
2021-04-11,19
2021-04-18,27
2021-04-25,30
2021-05-02,23
2021-05-09,25
2021-05-16,27
2021-05-23,28
2021-05-30,21
2021-06-06,18
2021-06-13,21
2021-06-20,23
2021-06-27,19
2021-07-04,15
2021-07-11,30
2021-07-18,30
2021-07-25,23
2021-08-01,22
2021-08-08,20
2021-08-15,16
2021-08-22,20
2021-08-29,25
