date,Game_FI
2020-03-15,88
2020-03-22,80
2020-03-29,87
2020-04-05,78
2020-04-12,83
2020-04-19,69
2020-04-26,89
2020-05-03,79
2020-05-10,71
2020-05-17,68
2020-05-24,64
2020-05-31,62
2020-06-07,56
2020-06-14,64
2020-06-21,60
2020-06-28,59
2020-07-05,60
2020-07-12,67
2020-07-19,60
2020-07-26,55
2020-08-02,55
2020-08-09,64
2020-08-16,62
2020-08-23,69
2020-08-30,73
2020-09-06,77
2020-09-13,71
2020-09-20,71
2020-09-27,69
2020-10-04,69
2020-10-11,70
2020-10-18,71
2020-10-25,75
2020-11-01,68
2020-11-08,71
2020-11-15,83
2020-11-22,84
2020-11-29,82
2020-12-06,81
2020-12-13,83
2020-12-20,100
2020-12-27,92
2021-01-03,74
2021-01-10,68
2021-01-17,68
2021-01-24,72
2021-01-31,69
2021-02-07,72
2021-02-14,79
2021-02-21,65
2021-02-28,72
2021-03-07,74
2021-03-14,71
2021-03-21,75
2021-03-28,70
2021-04-04,64
2021-04-11,64
2021-04-18,66
2021-04-25,65
2021-05-02,66
2021-05-09,59
2021-05-16,68
2021-05-23,86
2021-05-30,99
2021-06-06,82
2021-06-13,78
2021-06-20,76
2021-06-27,67
2021-07-04,61
2021-07-11,57
2021-07-18,63
2021-07-25,62
2021-08-01,64
2021-08-08,67
2021-08-15,69
2021-08-22,72
2021-08-29,74
