date,Collecting_IT
2020-03-15,43
2020-03-22,49
2020-03-29,51
2020-04-05,61
2020-04-12,60
2020-04-19,65
2020-04-26,74
2020-05-03,49
2020-05-10,54
2020-05-17,80
2020-05-24,55
2020-05-31,48
2020-06-07,56
2020-06-14,60
2020-06-21,41
2020-06-28,45
2020-07-05,48
2020-07-12,58
2020-07-19,54
2020-07-26,53
2020-08-02,47
2020-08-09,68
2020-08-16,63
2020-08-23,69
2020-08-30,63
2020-09-06,48
2020-09-13,71
2020-09-20,58
2020-09-27,62
2020-10-04,72
2020-10-11,63
2020-10-18,67
2020-10-25,79
2020-11-01,79
2020-11-08,64
2020-11-15,70
2020-11-22,66
2020-11-29,77
2020-12-06,83
2020-12-13,75
2020-12-20,77
2020-12-27,100
2021-01-03,98
2021-01-10,77
2021-01-17,70
2021-01-24,80
2021-01-31,78
2021-02-07,76
2021-02-14,69
2021-02-21,68
2021-02-28,56
2021-03-07,75
2021-03-14,64
2021-03-21,86
2021-03-28,61
2021-04-04,79
2021-04-11,79
2021-04-18,71
2021-04-25,70
2021-05-02,42
2021-05-09,50
2021-05-16,73
2021-05-23,77
2021-05-30,79
2021-06-06,58
2021-06-13,49
2021-06-20,58
2021-06-27,61
2021-07-04,38
2021-07-11,41
2021-07-18,52
2021-07-25,47
2021-08-01,51
2021-08-08,61
2021-08-15,48
2021-08-22,78
2021-08-29,95
