date,Game_BE
2020-03-15,38
2020-03-22,40
2020-03-29,39
2020-04-05,34
2020-04-12,36
2020-04-19,32
2020-04-26,91
2020-05-03,100
2020-05-10,30
2020-05-17,30
2020-05-24,28
2020-05-31,30
2020-06-07,26
2020-06-14,27
2020-06-21,28
2020-06-28,31
2020-07-05,29
2020-07-12,29
2020-07-19,27
2020-07-26,26
2020-08-02,26
2020-08-09,25
2020-08-16,27
2020-08-23,26
2020-08-30,24
2020-09-06,25
2020-09-13,25
2020-09-20,27
2020-09-27,28
2020-10-04,27
2020-10-11,27
2020-10-18,28
2020-10-25,34
2020-11-01,34
2020-11-08,37
2020-11-15,36
2020-11-22,34
2020-11-29,36
2020-12-06,35
2020-12-13,36
2020-12-20,41
2020-12-27,39
2021-01-03,29
2021-01-10,30
2021-01-17,28
2021-01-24,32
2021-01-31,29
2021-02-07,30
2021-02-14,33
2021-02-21,30
2021-02-28,30
2021-03-07,30
2021-03-14,30
2021-03-21,30
2021-03-28,30
2021-04-04,33
2021-04-11,30
2021-04-18,27
2021-04-25,28
2021-05-02,27
2021-05-09,27
2021-05-16,26
2021-05-23,28
2021-05-30,28
2021-06-06,27
2021-06-13,28
2021-06-20,29
2021-06-27,30
2021-07-04,28
2021-07-11,28
2021-07-18,36
2021-07-25,53
2021-08-01,58
2021-08-08,33
2021-08-15,28
2021-08-22,33
2021-08-29,32
