date,Game_SG
2020-03-15,18
2020-03-22,21
2020-03-29,20
2020-04-05,30
2020-04-12,28
2020-04-19,27
2020-04-26,96
2020-05-03,100
2020-05-10,29
2020-05-17,26
2020-05-24,26
2020-05-31,21
2020-06-07,22
2020-06-14,23
2020-06-21,20
2020-06-28,18
2020-07-05,18
2020-07-12,19
2020-07-19,20
2020-07-26,18
2020-08-02,19
2020-08-09,20
2020-08-16,18
2020-08-23,19
2020-08-30,20
2020-09-06,18
2020-09-13,19
2020-09-20,20
2020-09-27,16
2020-10-04,19
2020-10-11,17
2020-10-18,18
2020-10-25,18
2020-11-01,16
2020-11-08,17
2020-11-15,18
2020-11-22,19
2020-11-29,17
2020-12-06,18
2020-12-13,20
2020-12-20,20
2020-12-27,22
2021-01-03,16
2021-01-10,18
2021-01-17,16
2021-01-24,18
2021-01-31,17
2021-02-07,20
2021-02-14,19
2021-02-21,17
2021-02-28,16
2021-03-07,18
2021-03-14,19
2021-03-21,16
2021-03-28,19
2021-04-04,16
2021-04-11,18
2021-04-18,17
2021-04-25,18
2021-05-02,18
2021-05-09,19
2021-05-16,25
2021-05-23,25
2021-05-30,23
2021-06-06,22
2021-06-13,23
2021-06-20,21
2021-06-27,23
2021-07-04,19
2021-07-11,23
2021-07-18,23
2021-07-25,27
2021-08-01,26
2021-08-08,22
2021-08-15,20
2021-08-22,21
2021-08-29,22
