date,Pets_GB
2020-03-15,74
2020-03-22,89
2020-03-29,84
2020-04-05,87
2020-04-12,90
2020-04-19,88
2020-04-26,91
2020-05-03,91
2020-05-10,94
2020-05-17,96
2020-05-24,92
2020-05-31,90
2020-06-07,95
2020-06-14,91
2020-06-21,99
2020-06-28,98
2020-07-05,96
2020-07-12,99
2020-07-19,100
2020-07-26,97
2020-08-02,97
2020-08-09,98
2020-08-16,99
2020-08-23,95
2020-08-30,98
2020-09-06,91
2020-09-13,88
2020-09-20,94
2020-09-27,88
2020-10-04,90
2020-10-11,91
2020-10-18,98
2020-10-25,93
2020-11-01,89
2020-11-08,92
2020-11-15,95
2020-11-22,97
2020-11-29,94
2020-12-06,85
2020-12-13,86
2020-12-20,87
2020-12-27,98
2021-01-03,97
2021-01-10,95
2021-01-17,97
2021-01-24,95
2021-01-31,97
2021-02-07,98
2021-02-14,99
2021-02-21,90
2021-02-28,93
2021-03-07,87
2021-03-14,87
2021-03-21,91
2021-03-28,94
2021-04-04,96
2021-04-11,91
2021-04-18,77
2021-04-25,86
2021-05-02,91
2021-05-09,88
2021-05-16,85
2021-05-23,89
2021-05-30,86
2021-06-06,89
2021-06-13,85
2021-06-20,87
2021-06-27,87
2021-07-04,94
2021-07-11,89
2021-07-18,95
2021-07-25,98
2021-08-01,91
2021-08-08,95
2021-08-15,92
2021-08-22,93
2021-08-29,98
