date,Game_BD
2020-03-15,23
2020-03-22,27
2020-03-29,27
2020-04-05,32
2020-04-12,33
2020-04-19,29
2020-04-26,70
2020-05-03,100
2020-05-10,31
2020-05-17,28
2020-05-24,29
2020-05-31,26
2020-06-07,23
2020-06-14,23
2020-06-21,24
2020-06-28,25
2020-07-05,24
2020-07-12,23
2020-07-19,24
2020-07-26,26
2020-08-02,25
2020-08-09,23
2020-08-16,23
2020-08-23,22
2020-08-30,22
2020-09-06,25
2020-09-13,20
2020-09-20,22
2020-09-27,20
2020-10-04,19
2020-10-11,17
2020-10-18,21
2020-10-25,19
2020-11-01,18
2020-11-08,17
2020-11-15,19
2020-11-22,18
2020-11-29,19
2020-12-06,19
2020-12-13,18
2020-12-20,19
2020-12-27,18
2021-01-03,18
2021-01-10,19
2021-01-17,21
2021-01-24,20
2021-01-31,18
2021-02-07,17
2021-02-14,17
2021-02-21,19
2021-02-28,18
2021-03-07,16
2021-03-14,17
2021-03-21,18
2021-03-28,17
2021-04-04,19
2021-04-11,21
2021-04-18,19
2021-04-25,21
2021-05-02,26
2021-05-09,30
2021-05-16,23
2021-05-23,20
2021-05-30,19
2021-06-06,19
2021-06-13,17
2021-06-20,18
2021-06-27,18
2021-07-04,20
2021-07-11,20
2021-07-18,22
2021-07-25,23
2021-08-01,19
2021-08-08,20
2021-08-15,19
2021-08-22,19
2021-08-29,19
