date,Sports_KR
2018-01-07,64
2018-01-14,70
2018-01-21,70
2018-01-28,66
2018-02-04,74
2018-02-11,79
2018-02-18,79
2018-02-25,70
2018-03-04,67
2018-03-11,70
2018-03-18,70
2018-03-25,75
2018-04-01,76
2018-04-08,79
2018-04-15,72
2018-04-22,68
2018-04-29,72
2018-05-06,74
2018-05-13,68
2018-05-20,68
2018-05-27,74
2018-06-03,81
2018-06-10,88
2018-06-17,83
2018-06-24,82
2018-07-01,73
2018-07-08,67
2018-07-15,65
2018-07-22,60
2018-07-29,55
2018-08-05,71
2018-08-12,71
2018-08-19,71
2018-08-26,86
2018-09-02,60
2018-09-09,63
2018-09-16,72
2018-09-23,68
2018-09-30,69
2018-10-07,77
2018-10-14,79
2018-10-21,71
2018-10-28,62
2018-11-04,67
2018-11-11,68
2018-11-18,56
2018-11-25,67
2018-12-02,59
2018-12-09,64
2018-12-16,67
2018-12-23,63
2018-12-30,63
2019-01-06,70
2019-01-13,69
2019-01-20,74
2019-01-27,27
2019-02-03,24
2019-02-10,21
2019-02-17,21
2019-02-24,20
2019-03-03,24
2019-03-10,21
2019-03-17,25
2019-03-24,27
2019-03-31,74
2019-04-07,91
2019-04-14,84
2019-04-21,80
2019-04-28,85
2019-05-05,98
2019-05-12,79
2019-05-19,75
2019-05-26,96
2019-06-02,94
2019-06-09,91
2019-06-16,92
2019-06-23,82
2019-06-30,87
2019-07-07,79
2019-07-14,81
2019-07-21,85
2019-07-28,85
2019-08-04,78
2019-08-11,91
2019-08-18,82
2019-08-25,94
2019-09-01,77
2019-09-08,83
2019-09-15,86
2019-09-22,84
2019-09-29,93
2019-10-06,100
2019-10-13,90
2019-10-20,100
2019-10-27,81
2019-11-03,83
2019-11-10,87
2019-11-17,88
2019-11-24,96
2019-12-01,87
2019-12-08,87
2019-12-15,96
2019-12-22,80
2019-12-29,68
2020-01-05,76
2020-01-12,84
2020-01-19,82
2020-01-26,68
2020-02-02,72
2020-02-09,72
2020-02-16,66
2020-02-23,55
2020-03-01,65
2020-03-08,58
