date,Music_GB
2020-03-15,68
2020-03-22,79
2020-03-29,91
2020-04-05,90
2020-04-12,98
2020-04-19,100
2020-04-26,99
2020-05-03,99
2020-05-10,89
2020-05-17,91
2020-05-24,86
2020-05-31,83
2020-06-07,81
2020-06-14,80
2020-06-21,79
2020-06-28,80
2020-07-05,77
2020-07-12,79
2020-07-19,73
2020-07-26,69
2020-08-02,70
2020-08-09,72
2020-08-16,71
2020-08-23,71
2020-08-30,72
2020-09-06,76
2020-09-13,70
2020-09-20,73
2020-09-27,73
2020-10-04,76
2020-10-11,70
2020-10-18,72
2020-10-25,71
2020-11-01,67
2020-11-08,75
2020-11-15,77
2020-11-22,74
2020-11-29,80
2020-12-06,78
2020-12-13,77
2020-12-20,75
2020-12-27,75
2021-01-03,70
2021-01-10,75
2021-01-17,77
2021-01-24,80
2021-01-31,80
2021-02-07,76
2021-02-14,71
2021-02-21,73
2021-02-28,73
2021-03-07,72
2021-03-14,72
2021-03-21,69
2021-03-28,70
2021-04-04,64
2021-04-11,63
2021-04-18,63
2021-04-25,66
2021-05-02,62
2021-05-09,67
2021-05-16,67
2021-05-23,65
2021-05-30,63
2021-06-06,60
2021-06-13,62
2021-06-20,63
2021-06-27,58
2021-07-04,63
2021-07-11,64
2021-07-18,66
2021-07-25,62
2021-08-01,62
2021-08-08,60
2021-08-15,60
2021-08-22,67
2021-08-29,70
