date,Arts_CL
2020-03-15,68
2020-03-22,79
2020-03-29,76
2020-04-05,76
2020-04-12,67
2020-04-19,67
2020-04-26,63
2020-05-03,86
2020-05-10,89
2020-05-17,73
2020-05-24,71
2020-05-31,78
2020-06-07,84
2020-06-14,70
2020-06-21,83
2020-06-28,68
2020-07-05,73
2020-07-12,71
2020-07-19,71
2020-07-26,60
2020-08-02,68
2020-08-09,65
2020-08-16,79
2020-08-23,77
2020-08-30,65
2020-09-06,74
2020-09-13,49
2020-09-20,77
2020-09-27,74
2020-10-04,72
2020-10-11,72
2020-10-18,70
2020-10-25,68
2020-11-01,66
2020-11-08,68
2020-11-15,80
2020-11-22,68
2020-11-29,70
2020-12-06,62
2020-12-13,60
2020-12-20,45
2020-12-27,44
2021-01-03,40
2021-01-10,41
2021-01-17,42
2021-01-24,47
2021-01-31,47
2021-02-07,51
2021-02-14,44
2021-02-21,51
2021-02-28,60
2021-03-07,73
2021-03-14,82
2021-03-21,79
2021-03-28,80
2021-04-04,93
2021-04-11,80
2021-04-18,84
2021-04-25,73
2021-05-02,88
2021-05-09,100
2021-05-16,81
2021-05-23,70
2021-05-30,69
2021-06-06,73
2021-06-13,78
2021-06-20,82
2021-06-27,65
2021-07-04,66
2021-07-11,56
2021-07-18,61
2021-07-25,86
2021-08-01,78
2021-08-08,81
2021-08-15,77
2021-08-22,79
2021-08-29,87
