date,Music_PE
2018-01-07,100
2018-01-14,98
2018-01-21,97
2018-01-28,96
2018-02-04,99
2018-02-11,92
2018-02-18,93
2018-02-25,90
2018-03-04,92
2018-03-11,93
2018-03-18,88
2018-03-25,94
2018-04-01,88
2018-04-08,86
2018-04-15,89
2018-04-22,90
2018-04-29,93
2018-05-06,96
2018-05-13,89
2018-05-20,89
2018-05-27,86
2018-06-03,85
2018-06-10,84
2018-06-17,83
2018-06-24,84
2018-07-01,84
2018-07-08,86
2018-07-15,90
2018-07-22,97
2018-07-29,87
2018-08-05,90
2018-08-12,88
2018-08-19,83
2018-08-26,91
2018-09-02,86
2018-09-09,91
2018-09-16,92
2018-09-23,88
2018-09-30,87
2018-10-07,85
2018-10-14,90
2018-10-21,95
2018-10-28,91
2018-11-04,85
2018-11-11,84
2018-11-18,86
2018-11-25,82
2018-12-02,85
2018-12-09,88
2018-12-16,92
2018-12-23,95
2018-12-30,88
2019-01-06,82
2019-01-13,85
2019-01-20,79
2019-01-27,73
2019-02-03,80
2019-02-10,81
2019-02-17,79
2019-02-24,80
2019-03-03,72
2019-03-10,74
2019-03-17,77
2019-03-24,77
2019-03-31,74
2019-04-07,77
2019-04-14,71
2019-04-21,76
2019-04-28,75
2019-05-05,79
2019-05-12,80
2019-05-19,74
2019-05-26,74
2019-06-02,74
2019-06-09,78
2019-06-16,71
2019-06-23,76
2019-06-30,69
2019-07-07,79
2019-07-14,79
2019-07-21,79
2019-07-28,75
2019-08-04,71
2019-08-11,81
2019-08-18,75
2019-08-25,76
2019-09-01,76
2019-09-08,80
2019-09-15,73
2019-09-22,78
2019-09-29,70
2019-10-06,76
2019-10-13,77
2019-10-20,75
2019-10-27,83
2019-11-03,72
2019-11-10,70
2019-11-17,77
2019-11-24,76
2019-12-01,74
2019-12-08,77
2019-12-15,78
2019-12-22,82
2019-12-29,75
2020-01-05,68
2020-01-12,67
2020-01-19,68
2020-01-26,64
2020-02-02,67
2020-02-09,66
2020-02-16,68
2020-02-23,63
2020-03-01,68
2020-03-08,61
