date,Crafts_GB
2020-03-15,67
2020-03-22,80
2020-03-29,100
2020-04-05,100
2020-04-12,87
2020-04-19,77
2020-04-26,78
2020-05-03,81
2020-05-10,79
2020-05-17,75
2020-05-24,67
2020-05-31,67
2020-06-07,75
2020-06-14,77
2020-06-21,64
2020-06-28,68
2020-07-05,64
2020-07-12,63
2020-07-19,58
2020-07-26,57
2020-08-02,57
2020-08-09,55
2020-08-16,60
2020-08-23,58
2020-08-30,58
2020-09-06,59
2020-09-13,58
2020-09-20,61
2020-09-27,62
2020-10-04,72
2020-10-11,68
2020-10-18,81
2020-10-25,93
2020-11-01,76
2020-11-08,93
2020-11-15,87
2020-11-22,96
2020-11-29,92
2020-12-06,82
2020-12-13,71
2020-12-20,54
2020-12-27,60
2021-01-03,68
2021-01-10,72
2021-01-17,72
2021-01-24,77
2021-01-31,74
2021-02-07,78
2021-02-14,84
2021-02-21,64
2021-02-28,65
2021-03-07,65
2021-03-14,68
2021-03-21,71
2021-03-28,64
2021-04-04,59
2021-04-11,48
2021-04-18,51
2021-04-25,51
2021-05-02,51
2021-05-09,54
2021-05-16,55
2021-05-23,51
2021-05-30,55
2021-06-06,54
2021-06-13,54
2021-06-20,53
2021-06-27,49
2021-07-04,52
2021-07-11,54
2021-07-18,48
2021-07-25,57
2021-08-01,58
2021-08-08,58
2021-08-15,58
2021-08-22,57
2021-08-29,59
