date,Arts_JP
2020-03-15,69
2020-03-22,68
2020-03-29,55
2020-04-05,58
2020-04-12,67
2020-04-19,61
2020-04-26,75
2020-05-03,71
2020-05-10,75
2020-05-17,78
2020-05-24,81
2020-05-31,79
2020-06-07,75
2020-06-14,85
2020-06-21,81
2020-06-28,73
2020-07-05,91
2020-07-12,87
2020-07-19,79
2020-07-26,79
2020-08-02,84
2020-08-09,86
2020-08-16,92
2020-08-23,84
2020-08-30,81
2020-09-06,89
2020-09-13,91
2020-09-20,85
2020-09-27,80
2020-10-04,74
2020-10-11,78
2020-10-18,78
2020-10-25,77
2020-11-01,72
2020-11-08,85
2020-11-15,78
2020-11-22,78
2020-11-29,79
2020-12-06,80
2020-12-13,71
2020-12-20,66
2020-12-27,60
2021-01-03,72
2021-01-10,75
2021-01-17,77
2021-01-24,77
2021-01-31,100
2021-02-07,84
2021-02-14,76
2021-02-21,75
2021-02-28,80
2021-03-07,76
2021-03-14,81
2021-03-21,78
2021-03-28,69
2021-04-04,74
2021-04-11,79
2021-04-18,78
2021-04-25,75
2021-05-02,81
2021-05-09,80
2021-05-16,75
2021-05-23,77
2021-05-30,79
2021-06-06,76
2021-06-13,78
2021-06-20,75
2021-06-27,77
2021-07-04,79
2021-07-11,79
2021-07-18,80
2021-07-25,76
2021-08-01,77
2021-08-08,81
2021-08-15,87
2021-08-22,85
2021-08-29,81
