date,Crafts_RU
2020-03-15,61
2020-03-22,63
2020-03-29,56
2020-04-05,96
2020-04-12,89
2020-04-19,81
2020-04-26,87
2020-05-03,64
2020-05-10,86
2020-05-17,73
2020-05-24,40
2020-05-31,44
2020-06-07,45
2020-06-14,45
2020-06-21,59
2020-06-28,39
2020-07-05,47
2020-07-12,43
2020-07-19,45
2020-07-26,36
2020-08-02,53
2020-08-09,45
2020-08-16,41
2020-08-23,41
2020-08-30,42
2020-09-06,78
2020-09-13,67
2020-09-20,70
2020-09-27,61
2020-10-04,63
2020-10-11,63
2020-10-18,59
2020-10-25,63
2020-11-01,69
2020-11-08,84
2020-11-15,49
2020-11-22,34
2020-11-29,54
2020-12-06,61
2020-12-13,63
2020-12-20,37
2020-12-27,47
2021-01-03,61
2021-01-10,44
2021-01-17,79
2021-01-24,73
2021-01-31,91
2021-02-07,100
2021-02-14,78
2021-02-21,58
2021-02-28,65
2021-03-07,70
2021-03-14,72
2021-03-21,61
2021-03-28,61
2021-04-04,53
2021-04-11,58
2021-04-18,75
2021-04-25,48
2021-05-02,52
2021-05-09,46
2021-05-16,72
2021-05-23,56
2021-05-30,37
2021-06-06,60
2021-06-13,49
2021-06-20,44
2021-06-27,44
2021-07-04,27
2021-07-11,61
2021-07-18,35
2021-07-25,43
2021-08-01,32
2021-08-08,59
2021-08-15,42
2021-08-22,58
2021-08-29,61
