date,Sports_MX
2020-03-15,50
2020-03-22,36
2020-03-29,33
2020-04-05,26
2020-04-12,28
2020-04-19,34
2020-04-26,30
2020-05-03,30
2020-05-10,32
2020-05-17,33
2020-05-24,34
2020-05-31,34
2020-06-07,34
2020-06-14,36
2020-06-21,32
2020-06-28,34
2020-07-05,36
2020-07-12,40
2020-07-19,41
2020-07-26,46
2020-08-02,47
2020-08-09,52
2020-08-16,51
2020-08-23,51
2020-08-30,58
2020-09-06,68
2020-09-13,60
2020-09-20,65
2020-09-27,67
2020-10-04,66
2020-10-11,64
2020-10-18,75
2020-10-25,65
2020-11-01,66
2020-11-08,62
2020-11-15,55
2020-11-22,73
2020-11-29,73
2020-12-06,71
2020-12-13,63
2020-12-20,50
2020-12-27,43
2021-01-03,51
2021-01-10,56
2021-01-17,57
2021-01-24,59
2021-01-31,57
2021-02-07,65
2021-02-14,57
2021-02-21,59
2021-02-28,66
2021-03-07,58
2021-03-14,62
2021-03-21,60
2021-03-28,51
2021-04-04,64
2021-04-11,67
2021-04-18,64
2021-04-25,68
2021-05-02,69
2021-05-09,75
2021-05-16,80
2021-05-23,71
2021-05-30,72
2021-06-06,97
2021-06-13,98
2021-06-20,74
2021-06-27,81
2021-07-04,68
2021-07-11,69
2021-07-18,88
2021-07-25,100
2021-08-01,93
2021-08-08,79
2021-08-15,83
2021-08-22,79
2021-08-29,81
