date,Cooking_PH
2020-03-15,47
2020-03-22,57
2020-03-29,63
2020-04-05,68
2020-04-12,63
2020-04-19,65
2020-04-26,72
2020-05-03,62
2020-05-10,67
2020-05-17,55
2020-05-24,59
2020-05-31,52
2020-06-07,50
2020-06-14,44
2020-06-21,49
2020-06-28,47
2020-07-05,47
2020-07-12,41
2020-07-19,48
2020-07-26,47
2020-08-02,52
2020-08-09,42
2020-08-16,48
2020-08-23,57
2020-08-30,58
2020-09-06,59
2020-09-13,63
2020-09-20,57
2020-09-27,63
2020-10-04,100
2020-10-11,84
2020-10-18,84
2020-10-25,81
2020-11-01,74
2020-11-08,64
2020-11-15,68
2020-11-22,68
2020-11-29,68
2020-12-06,69
2020-12-13,55
2020-12-20,47
2020-12-27,46
2021-01-03,54
2021-01-10,65
2021-01-17,67
2021-01-24,74
2021-01-31,68
2021-02-07,69
2021-02-14,64
2021-02-21,66
2021-02-28,59
2021-03-07,51
2021-03-14,52
2021-03-21,57
2021-03-28,63
2021-04-04,67
2021-04-11,62
2021-04-18,58
2021-04-25,65
2021-05-02,65
2021-05-09,55
2021-05-16,61
2021-05-23,64
2021-05-30,52
2021-06-06,53
2021-06-13,59
2021-06-20,53
2021-06-27,51
2021-07-04,51
2021-07-11,32
2021-07-18,41
2021-07-25,28
2021-08-01,39
2021-08-08,44
2021-08-15,42
2021-08-22,49
2021-08-29,43
