date,Collecting_GB
2020-03-15,53
2020-03-22,50
2020-03-29,72
2020-04-05,62
2020-04-12,79
2020-04-19,70
2020-04-26,73
2020-05-03,83
2020-05-10,75
2020-05-17,83
2020-05-24,80
2020-05-31,79
2020-06-07,86
2020-06-14,78
2020-06-21,71
2020-06-28,81
2020-07-05,78
2020-07-12,66
2020-07-19,81
2020-07-26,72
2020-08-02,81
2020-08-09,67
2020-08-16,73
2020-08-23,81
2020-08-30,86
2020-09-06,71
2020-09-13,79
2020-09-20,78
2020-09-27,75
2020-10-04,76
2020-10-11,70
2020-10-18,84
2020-10-25,92
2020-11-01,87
2020-11-08,84
2020-11-15,88
2020-11-22,100
2020-11-29,83
2020-12-06,98
2020-12-13,71
2020-12-20,73
2020-12-27,69
2021-01-03,77
2021-01-10,89
2021-01-17,85
2021-01-24,84
2021-01-31,80
2021-02-07,86
2021-02-14,84
2021-02-21,69
2021-02-28,83
2021-03-07,63
2021-03-14,71
2021-03-21,92
2021-03-28,73
2021-04-04,74
2021-04-11,75
2021-04-18,61
2021-04-25,62
2021-05-02,76
2021-05-09,79
2021-05-16,83
2021-05-23,78
2021-05-30,75
2021-06-06,91
2021-06-13,68
2021-06-20,93
2021-06-27,75
2021-07-04,61
2021-07-11,73
2021-07-18,67
2021-07-25,83
2021-08-01,70
2021-08-08,70
2021-08-15,77
2021-08-22,77
2021-08-29,73
