date,Pets_EG
2020-03-15,55
2020-03-22,65
2020-03-29,78
2020-04-05,73
2020-04-12,45
2020-04-19,67
2020-04-26,50
2020-05-03,69
2020-05-10,54
2020-05-17,83
2020-05-24,57
2020-05-31,70
2020-06-07,97
2020-06-14,63
2020-06-21,85
2020-06-28,54
2020-07-05,61
2020-07-12,61
2020-07-19,73
2020-07-26,100
2020-08-02,75
2020-08-09,77
2020-08-16,58
2020-08-23,53
2020-08-30,60
2020-09-06,42
2020-09-13,58
2020-09-20,48
2020-09-27,63
2020-10-04,57
2020-10-11,63
2020-10-18,24
2020-10-25,46
2020-11-01,42
2020-11-08,43
2020-11-15,52
2020-11-22,50
2020-11-29,45
2020-12-06,42
2020-12-13,40
2020-12-20,61
2020-12-27,29
2021-01-03,43
2021-01-10,68
2021-01-17,67
2021-01-24,29
2021-01-31,63
2021-02-07,62
2021-02-14,37
2021-02-21,38
2021-02-28,48
2021-03-07,36
2021-03-14,66
2021-03-21,66
2021-03-28,86
2021-04-04,41
2021-04-11,59
2021-04-18,40
2021-04-25,62
2021-05-02,72
2021-05-09,65
2021-05-16,40
2021-05-23,49
2021-05-30,58
2021-06-06,50
2021-06-13,51
2021-06-20,56
2021-06-27,71
2021-07-04,48
2021-07-11,55
2021-07-18,50
2021-07-25,64
2021-08-01,57
2021-08-08,43
2021-08-15,55
2021-08-22,51
2021-08-29,85
