date,Cooking_ZA
2018-01-07,63
2018-01-14,45
2018-01-21,56
2018-01-28,45
2018-02-04,49
2018-02-11,53
2018-02-18,46
2018-02-25,42
2018-03-04,56
2018-03-11,41
2018-03-18,43
2018-03-25,56
2018-04-01,54
2018-04-08,41
2018-04-15,62
2018-04-22,43
2018-04-29,46
2018-05-06,65
2018-05-13,58
2018-05-20,59
2018-05-27,56
2018-06-03,51
2018-06-10,60
2018-06-17,45
2018-06-24,43
2018-07-01,52
2018-07-08,47
2018-07-15,59
2018-07-22,48
2018-07-29,41
2018-08-05,50
2018-08-12,48
2018-08-19,57
2018-08-26,53
2018-09-02,51
2018-09-09,47
2018-09-16,58
2018-09-23,41
2018-09-30,49
2018-10-07,55
2018-10-14,57
2018-10-21,61
2018-10-28,35
2018-11-04,51
2018-11-11,37
2018-11-18,58
2018-11-25,41
2018-12-02,35
2018-12-09,50
2018-12-16,52
2018-12-23,84
2018-12-30,56
2019-01-06,58
2019-01-13,59
2019-01-20,48
2019-01-27,59
2019-02-03,57
2019-02-10,50
2019-02-17,50
2019-02-24,50
2019-03-03,33
2019-03-10,49
2019-03-17,51
2019-03-24,42
2019-03-31,48
2019-04-07,40
2019-04-14,49
2019-04-21,44
2019-04-28,47
2019-05-05,58
2019-05-12,51
2019-05-19,50
2019-05-26,44
2019-06-02,61
2019-06-09,50
2019-06-16,56
2019-06-23,45
2019-06-30,42
2019-07-07,53
2019-07-14,51
2019-07-21,48
2019-07-28,57
2019-08-04,51
2019-08-11,50
2019-08-18,62
2019-08-25,63
2019-09-01,39
2019-09-08,48
2019-09-15,53
2019-09-22,45
2019-09-29,39
2019-10-06,54
2019-10-13,60
2019-10-20,52
2019-10-27,46
2019-11-03,41
2019-11-10,60
2019-11-17,54
2019-11-24,43
2019-12-01,50
2019-12-08,47
2019-12-15,51
2019-12-22,100
2019-12-29,59
2020-01-05,62
2020-01-12,60
2020-01-19,66
2020-01-26,52
2020-02-02,68
2020-02-09,56
2020-02-16,55
2020-02-23,64
2020-03-01,52
2020-03-08,45
