date,Performing_Art_KR
2020-03-15,0
2020-03-22,58
2020-03-29,29
2020-04-05,100
2020-04-12,28
2020-04-19,14
2020-04-26,30
2020-05-03,86
2020-05-10,14
2020-05-17,14
2020-05-24,56
2020-05-31,70
2020-06-07,97
2020-06-14,42
2020-06-21,57
2020-06-28,29
2020-07-05,14
2020-07-12,15
2020-07-19,72
2020-07-26,29
2020-08-02,43
2020-08-09,73
2020-08-16,44
2020-08-23,27
2020-08-30,26
2020-09-06,51
2020-09-13,40
2020-09-20,14
2020-09-27,16
2020-10-04,31
2020-10-11,48
2020-10-18,98
2020-10-25,49
2020-11-01,31
2020-11-08,65
2020-11-15,47
2020-11-22,47
2020-11-29,62
2020-12-06,60
2020-12-13,29
2020-12-20,31
2020-12-27,31
2021-01-03,15
2021-01-10,15
2021-01-17,0
2021-01-24,15
2021-01-31,15
2021-02-07,33
2021-02-14,60
2021-02-21,46
2021-02-28,15
2021-03-07,43
2021-03-14,27
2021-03-21,56
2021-03-28,55
2021-04-04,41
2021-04-11,42
2021-04-18,70
2021-04-25,14
2021-05-02,72
2021-05-09,68
2021-05-16,42
2021-05-23,97
2021-05-30,69
2021-06-06,27
2021-06-13,83
2021-06-20,0
2021-06-27,59
2021-07-04,28
2021-07-11,27
2021-07-18,42
2021-07-25,14
2021-08-01,43
2021-08-08,72
2021-08-15,0
2021-08-22,48
2021-08-29,28
