date,Pets_PE
2018-01-07,60
2018-01-14,44
2018-01-21,55
2018-01-28,42
2018-02-04,60
2018-02-11,41
2018-02-18,48
2018-02-25,51
2018-03-04,52
2018-03-11,58
2018-03-18,44
2018-03-25,68
2018-04-01,49
2018-04-08,56
2018-04-15,46
2018-04-22,53
2018-04-29,65
2018-05-06,52
2018-05-13,52
2018-05-20,50
2018-05-27,49
2018-06-03,50
2018-06-10,64
2018-06-17,61
2018-06-24,55
2018-07-01,62
2018-07-08,60
2018-07-15,64
2018-07-22,53
2018-07-29,74
2018-08-05,56
2018-08-12,78
2018-08-19,55
2018-08-26,79
2018-09-02,66
2018-09-09,87
2018-09-16,62
2018-09-23,57
2018-09-30,75
2018-10-07,57
2018-10-14,60
2018-10-21,59
2018-10-28,44
2018-11-04,81
2018-11-11,75
2018-11-18,77
2018-11-25,66
2018-12-02,64
2018-12-09,57
2018-12-16,62
2018-12-23,79
2018-12-30,72
2019-01-06,42
2019-01-13,48
2019-01-20,50
2019-01-27,52
2019-02-03,69
2019-02-10,76
2019-02-17,98
2019-02-24,81
2019-03-03,63
2019-03-10,61
2019-03-17,72
2019-03-24,62
2019-03-31,60
2019-04-07,65
2019-04-14,64
2019-04-21,70
2019-04-28,66
2019-05-05,64
2019-05-12,42
2019-05-19,57
2019-05-26,61
2019-06-02,58
2019-06-09,66
2019-06-16,55
2019-06-23,69
2019-06-30,69
2019-07-07,100
2019-07-14,78
2019-07-21,86
2019-07-28,80
2019-08-04,62
2019-08-11,89
2019-08-18,87
2019-08-25,80
2019-09-01,58
2019-09-08,84
2019-09-15,72
2019-09-22,74
2019-09-29,75
2019-10-06,75
2019-10-13,75
2019-10-20,64
2019-10-27,60
2019-11-03,72
2019-11-10,78
2019-11-17,70
2019-11-24,70
2019-12-01,53
2019-12-08,59
2019-12-15,80
2019-12-22,75
2019-12-29,67
2020-01-05,60
2020-01-12,60
2020-01-19,65
2020-01-26,61
2020-02-02,71
2020-02-09,52
2020-02-16,68
2020-02-23,58
2020-03-01,71
2020-03-08,62
