date,Pets_CN
2020-03-15,33
2020-03-22,43
2020-03-29,32
2020-04-05,67
2020-04-12,64
2020-04-19,64
2020-04-26,76
2020-05-03,46
2020-05-10,73
2020-05-17,33
2020-05-24,50
2020-05-31,68
2020-06-07,40
2020-06-14,71
2020-06-21,59
2020-06-28,38
2020-07-05,32
2020-07-12,16
2020-07-19,25
2020-07-26,33
2020-08-02,97
2020-08-09,67
2020-08-16,78
2020-08-23,38
2020-08-30,20
2020-09-06,49
2020-09-13,57
2020-09-20,48
2020-09-27,36
2020-10-04,52
2020-10-11,41
2020-10-18,51
2020-10-25,41
2020-11-01,33
2020-11-08,71
2020-11-15,30
2020-11-22,51
2020-11-29,30
2020-12-06,40
2020-12-13,71
2020-12-20,32
2020-12-27,62
2021-01-03,21
2021-01-10,62
2021-01-17,41
2021-01-24,31
2021-01-31,56
2021-02-07,100
2021-02-14,63
2021-02-21,59
2021-02-28,23
2021-03-07,23
2021-03-14,22
2021-03-21,40
2021-03-28,54
2021-04-04,49
2021-04-11,70
2021-04-18,52
2021-04-25,73
2021-05-02,52
2021-05-09,47
2021-05-16,42
2021-05-23,33
2021-05-30,51
2021-06-06,64
2021-06-13,50
2021-06-20,69
2021-06-27,55
2021-07-04,36
2021-07-11,53
2021-07-18,44
2021-07-25,54
2021-08-01,51
2021-08-08,57
2021-08-15,29
2021-08-22,69
2021-08-29,51
