date,Pets_BR
2020-03-15,67
2020-03-22,67
2020-03-29,70
2020-04-05,74
2020-04-12,72
2020-04-19,73
2020-04-26,74
2020-05-03,79
2020-05-10,83
2020-05-17,84
2020-05-24,92
2020-05-31,92
2020-06-07,90
2020-06-14,92
2020-06-21,89
2020-06-28,92
2020-07-05,90
2020-07-12,89
2020-07-19,85
2020-07-26,85
2020-08-02,84
2020-08-09,89
2020-08-16,87
2020-08-23,96
2020-08-30,90
2020-09-06,89
2020-09-13,87
2020-09-20,87
2020-09-27,83
2020-10-04,92
2020-10-11,81
2020-10-18,84
2020-10-25,87
2020-11-01,87
2020-11-08,84
2020-11-15,78
2020-11-22,85
2020-11-29,87
2020-12-06,87
2020-12-13,93
2020-12-20,100
2020-12-27,92
2021-01-03,96
2021-01-10,92
2021-01-17,88
2021-01-24,84
2021-01-31,84
2021-02-07,81
2021-02-14,83
2021-02-21,77
2021-02-28,86
2021-03-07,89
2021-03-14,87
2021-03-21,85
2021-03-28,83
2021-04-04,83
2021-04-11,85
2021-04-18,86
2021-04-25,87
2021-05-02,82
2021-05-09,99
2021-05-16,86
2021-05-23,89
2021-05-30,91
2021-06-06,87
2021-06-13,87
2021-06-20,87
2021-06-27,86
2021-07-04,87
2021-07-11,93
2021-07-18,90
2021-07-25,82
2021-08-01,88
2021-08-08,89
2021-08-15,88
2021-08-22,90
2021-08-29,90
