date,Collecting_PH
2020-03-15,60
2020-03-22,31
2020-03-29,30
2020-04-05,35
2020-04-12,43
2020-04-19,34
2020-04-26,78
2020-05-03,36
2020-05-10,28
2020-05-17,48
2020-05-24,71
2020-05-31,54
2020-06-07,42
2020-06-14,57
2020-06-21,35
2020-06-28,50
2020-07-05,50
2020-07-12,35
2020-07-19,61
2020-07-26,66
2020-08-02,44
2020-08-09,72
2020-08-16,57
2020-08-23,37
2020-08-30,69
2020-09-06,47
2020-09-13,50
2020-09-20,57
2020-09-27,71
2020-10-04,64
2020-10-11,76
2020-10-18,100
2020-10-25,80
2020-11-01,68
2020-11-08,45
2020-11-15,50
2020-11-22,72
2020-11-29,62
2020-12-06,58
2020-12-13,63
2020-12-20,21
2020-12-27,28
2021-01-03,53
2021-01-10,64
2021-01-17,88
2021-01-24,64
2021-01-31,77
2021-02-07,63
2021-02-14,48
2021-02-21,67
2021-02-28,92
2021-03-07,57
2021-03-14,69
2021-03-21,62
2021-03-28,74
2021-04-04,82
2021-04-11,71
2021-04-18,35
2021-04-25,68
2021-05-02,53
2021-05-09,95
2021-05-16,57
2021-05-23,66
2021-05-30,69
2021-06-06,87
2021-06-13,59
2021-06-20,77
2021-06-27,100
2021-07-04,93
2021-07-11,42
2021-07-18,39
2021-07-25,36
2021-08-01,50
2021-08-08,28
2021-08-15,31
2021-08-22,57
2021-08-29,84
