date,Game_TR
2018-01-07,76
2018-01-14,91
2018-01-21,100
2018-01-28,100
2018-02-04,74
2018-02-11,74
2018-02-18,78
2018-02-25,74
2018-03-04,75
2018-03-11,70
2018-03-18,70
2018-03-25,71
2018-04-01,69
2018-04-08,65
2018-04-15,68
2018-04-22,70
2018-04-29,65
2018-05-06,61
2018-05-13,62
2018-05-20,66
2018-05-27,75
2018-06-03,77
2018-06-10,78
2018-06-17,71
2018-06-24,66
2018-07-01,65
2018-07-08,64
2018-07-15,66
2018-07-22,65
2018-07-29,61
2018-08-05,59
2018-08-12,57
2018-08-19,71
2018-08-26,61
2018-09-02,63
2018-09-09,63
2018-09-16,48
2018-09-23,49
2018-09-30,50
2018-10-07,53
2018-10-14,52
2018-10-21,52
2018-10-28,54
2018-11-04,53
2018-11-11,57
2018-11-18,56
2018-11-25,58
2018-12-02,58
2018-12-09,57
2018-12-16,59
2018-12-23,59
2018-12-30,61
2019-01-06,60
2019-01-13,71
2019-01-20,77
2019-01-27,75
2019-02-03,59
2019-02-10,59
2019-02-17,60
2019-02-24,57
2019-03-03,60
2019-03-10,56
2019-03-17,53
2019-03-24,56
2019-03-31,54
2019-04-07,55
2019-04-14,54
2019-04-21,56
2019-04-28,54
2019-05-05,53
2019-05-12,53
2019-05-19,52
2019-05-26,57
2019-06-02,64
2019-06-09,58
2019-06-16,59
2019-06-23,57
2019-06-30,56
2019-07-07,56
2019-07-14,55
2019-07-21,51
2019-07-28,53
2019-08-04,52
2019-08-11,58
2019-08-18,52
2019-08-25,51
2019-09-01,51
2019-09-08,42
2019-09-15,42
2019-09-22,42
2019-09-29,46
2019-10-06,47
2019-10-13,45
2019-10-20,46
2019-10-27,49
2019-11-03,46
2019-11-10,47
2019-11-17,57
2019-11-24,46
2019-12-01,52
2019-12-08,50
2019-12-15,51
2019-12-22,51
2019-12-29,54
2020-01-05,50
2020-01-12,61
2020-01-19,62
2020-01-26,61
2020-02-02,51
2020-02-09,53
2020-02-16,54
2020-02-23,50
2020-03-01,51
2020-03-08,51
