date,Arts_CH
2018-01-07,74
2018-01-14,81
2018-01-21,59
2018-01-28,65
2018-02-04,66
2018-02-11,64
2018-02-18,58
2018-02-25,63
2018-03-04,68
2018-03-11,60
2018-03-18,63
2018-03-25,57
2018-04-01,62
2018-04-08,49
2018-04-15,67
2018-04-22,68
2018-04-29,64
2018-05-06,57
2018-05-13,53
2018-05-20,70
2018-05-27,65
2018-06-03,62
2018-06-10,64
2018-06-17,59
2018-06-24,52
2018-07-01,47
2018-07-08,50
2018-07-15,45
2018-07-22,55
2018-07-29,48
2018-08-05,65
2018-08-12,59
2018-08-19,49
2018-08-26,64
2018-09-02,71
2018-09-09,52
2018-09-16,62
2018-09-23,63
2018-09-30,56
2018-10-07,67
2018-10-14,68
2018-10-21,75
2018-10-28,67
2018-11-04,71
2018-11-11,64
2018-11-18,66
2018-11-25,67
2018-12-02,65
2018-12-09,50
2018-12-16,64
2018-12-23,61
2018-12-30,60
2019-01-06,56
2019-01-13,55
2019-01-20,57
2019-01-27,100
2019-02-03,94
2019-02-10,87
2019-02-17,80
2019-02-24,80
2019-03-03,94
2019-03-10,76
2019-03-17,86
2019-03-24,76
2019-03-31,73
2019-04-07,66
2019-04-14,68
2019-04-21,59
2019-04-28,65
2019-05-05,58
2019-05-12,60
2019-05-19,63
2019-05-26,50
2019-06-02,62
2019-06-09,71
2019-06-16,59
2019-06-23,47
2019-06-30,43
2019-07-07,48
2019-07-14,49
2019-07-21,44
2019-07-28,41
2019-08-04,47
2019-08-11,53
2019-08-18,62
2019-08-25,59
2019-09-01,52
2019-09-08,58
2019-09-15,60
2019-09-22,63
2019-09-29,58
2019-10-06,64
2019-10-13,56
2019-10-20,60
2019-10-27,62
2019-11-03,65
2019-11-10,57
2019-11-17,62
2019-11-24,60
2019-12-01,57
2019-12-08,68
2019-12-15,60
2019-12-22,55
2019-12-29,63
2020-01-05,64
2020-01-12,66
2020-01-19,67
2020-01-26,71
2020-02-02,62
2020-02-09,57
2020-02-16,58
2020-02-23,57
2020-03-01,68
2020-03-08,51
