date,Music_AE
2020-03-15,76
2020-03-22,86
2020-03-29,100
2020-04-05,89
2020-04-12,91
2020-04-19,81
2020-04-26,78
2020-05-03,78
2020-05-10,83
2020-05-17,80
2020-05-24,98
2020-05-31,91
2020-06-07,92
2020-06-14,86
2020-06-21,94
2020-06-28,72
2020-07-05,82
2020-07-12,74
2020-07-19,73
2020-07-26,81
2020-08-02,76
2020-08-09,71
2020-08-16,69
2020-08-23,80
2020-08-30,83
2020-09-06,82
2020-09-13,81
2020-09-20,89
2020-09-27,84
2020-10-04,81
2020-10-11,73
2020-10-18,75
2020-10-25,83
2020-11-01,78
2020-11-08,80
2020-11-15,77
2020-11-22,71
2020-11-29,77
2020-12-06,81
2020-12-13,74
2020-12-20,71
2020-12-27,70
2021-01-03,79
2021-01-10,75
2021-01-17,70
2021-01-24,70
2021-01-31,66
2021-02-07,76
2021-02-14,62
2021-02-21,70
2021-02-28,76
2021-03-07,82
2021-03-14,76
2021-03-21,72
2021-03-28,70
2021-04-04,70
2021-04-11,68
2021-04-18,69
2021-04-25,74
2021-05-02,61
2021-05-09,72
2021-05-16,79
2021-05-23,84
2021-05-30,73
2021-06-06,73
2021-06-13,75
2021-06-20,76
2021-06-27,75
2021-07-04,65
2021-07-11,77
2021-07-18,73
2021-07-25,63
2021-08-01,70
2021-08-08,72
2021-08-15,56
2021-08-22,66
2021-08-29,76
