date,Learning_PH
2020-03-15,28
2020-03-22,24
2020-03-29,20
2020-04-05,19
2020-04-12,24
2020-04-19,28
2020-04-26,30
2020-05-03,36
2020-05-10,33
2020-05-17,35
2020-05-24,40
2020-05-31,49
2020-06-07,35
2020-06-14,36
2020-06-21,32
2020-06-28,34
2020-07-05,35
2020-07-12,37
2020-07-19,37
2020-07-26,36
2020-08-02,37
2020-08-09,39
2020-08-16,36
2020-08-23,50
2020-08-30,56
2020-09-06,67
2020-09-13,79
2020-09-20,81
2020-09-27,75
2020-10-04,100
2020-10-11,88
2020-10-18,84
2020-10-25,70
2020-11-01,70
2020-11-08,65
2020-11-15,63
2020-11-22,66
2020-11-29,68
2020-12-06,66
2020-12-13,61
2020-12-20,24
2020-12-27,20
2021-01-03,48
2021-01-10,62
2021-01-17,66
2021-01-24,70
2021-01-31,72
2021-02-07,71
2021-02-14,74
2021-02-21,73
2021-02-28,73
2021-03-07,66
2021-03-14,65
2021-03-21,65
2021-03-28,56
2021-04-04,64
2021-04-11,67
2021-04-18,67
2021-04-25,68
2021-05-02,67
2021-05-09,62
2021-05-16,63
2021-05-23,67
2021-05-30,62
2021-06-06,62
2021-06-13,63
2021-06-20,59
2021-06-27,54
2021-07-04,41
2021-07-11,32
2021-07-18,26
2021-07-25,26
2021-08-01,25
2021-08-08,28
2021-08-15,34
2021-08-22,41
2021-08-29,45
