date,Crafts_VN
2020-03-15,68
2020-03-22,70
2020-03-29,53
2020-04-05,56
2020-04-12,68
2020-04-19,53
2020-04-26,57
2020-05-03,36
2020-05-10,52
2020-05-17,69
2020-05-24,71
2020-05-31,59
2020-06-07,67
2020-06-14,87
2020-06-21,66
2020-06-28,65
2020-07-05,100
2020-07-12,75
2020-07-19,40
2020-07-26,63
2020-08-02,88
2020-08-09,59
2020-08-16,51
2020-08-23,54
2020-08-30,86
2020-09-06,59
2020-09-13,75
2020-09-20,48
2020-09-27,64
2020-10-04,81
2020-10-11,56
2020-10-18,53
2020-10-25,59
2020-11-01,43
2020-11-08,50
2020-11-15,68
2020-11-22,71
2020-11-29,59
2020-12-06,65
2020-12-13,53
2020-12-20,65
2020-12-27,44
2021-01-03,42
2021-01-10,53
2021-01-17,52
2021-01-24,50
2021-01-31,34
2021-02-07,46
2021-02-14,49
2021-02-21,56
2021-02-28,40
2021-03-07,57
2021-03-14,30
2021-03-21,45
2021-03-28,55
2021-04-04,66
2021-04-11,44
2021-04-18,39
2021-04-25,72
2021-05-02,42
2021-05-09,46
2021-05-16,53
2021-05-23,66
2021-05-30,70
2021-06-06,50
2021-06-13,56
2021-06-20,34
2021-06-27,55
2021-07-04,51
2021-07-11,64
2021-07-18,50
2021-07-25,47
2021-08-01,57
2021-08-08,41
2021-08-15,63
2021-08-22,64
2021-08-29,51
