date,Cooking_MX
2020-03-15,40
2020-03-22,57
2020-03-29,55
2020-04-05,67
2020-04-12,57
2020-04-19,63
2020-04-26,62
2020-05-03,71
2020-05-10,55
2020-05-17,63
2020-05-24,59
2020-05-31,55
2020-06-07,49
2020-06-14,60
2020-06-21,57
2020-06-28,47
2020-07-05,49
2020-07-12,53
2020-07-19,56
2020-07-26,49
2020-08-02,51
2020-08-09,42
2020-08-16,43
2020-08-23,69
2020-08-30,59
2020-09-06,46
2020-09-13,42
2020-09-20,46
2020-09-27,46
2020-10-04,42
2020-10-11,39
2020-10-18,39
2020-10-25,45
2020-11-01,38
2020-11-08,47
2020-11-15,42
2020-11-22,41
2020-11-29,42
2020-12-06,50
2020-12-13,47
2020-12-20,88
2020-12-27,71
2021-01-03,42
2021-01-10,45
2021-01-17,48
2021-01-24,51
2021-01-31,48
2021-02-07,54
2021-02-14,57
2021-02-21,59
2021-02-28,55
2021-03-07,44
2021-03-14,45
2021-03-21,100
2021-03-28,46
2021-04-04,47
2021-04-11,45
2021-04-18,74
2021-04-25,45
2021-05-02,45
2021-05-09,41
2021-05-16,41
2021-05-23,44
2021-05-30,34
2021-06-06,42
2021-06-13,40
2021-06-20,38
2021-06-27,40
2021-07-04,36
2021-07-11,37
2021-07-18,40
2021-07-25,40
2021-08-01,42
2021-08-08,44
2021-08-15,46
2021-08-22,40
2021-08-29,46
