date,Arts_TR
2020-03-15,48
2020-03-22,55
2020-03-29,59
2020-04-05,60
2020-04-12,76
2020-04-19,64
2020-04-26,68
2020-05-03,71
2020-05-10,67
2020-05-17,71
2020-05-24,68
2020-05-31,71
2020-06-07,66
2020-06-14,67
2020-06-21,72
2020-06-28,62
2020-07-05,58
2020-07-12,62
2020-07-19,50
2020-07-26,52
2020-08-02,57
2020-08-09,64
2020-08-16,58
2020-08-23,69
2020-08-30,65
2020-09-06,69
2020-09-13,66
2020-09-20,80
2020-09-27,82
2020-10-04,76
2020-10-11,92
2020-10-18,97
2020-10-25,87
2020-11-01,77
2020-11-08,91
2020-11-15,69
2020-11-22,89
2020-11-29,100
2020-12-06,95
2020-12-13,96
2020-12-20,88
2020-12-27,82
2021-01-03,91
2021-01-10,87
2021-01-17,82
2021-01-24,67
2021-01-31,66
2021-02-07,60
2021-02-14,72
2021-02-21,91
2021-02-28,84
2021-03-07,79
2021-03-14,82
2021-03-21,90
2021-03-28,83
2021-04-04,75
2021-04-11,74
2021-04-18,72
2021-04-25,73
2021-05-02,70
2021-05-09,53
2021-05-16,71
2021-05-23,77
2021-05-30,80
2021-06-06,80
2021-06-13,69
2021-06-20,72
2021-06-27,65
2021-07-04,71
2021-07-11,51
2021-07-18,46
2021-07-25,57
2021-08-01,54
2021-08-08,63
2021-08-15,72
2021-08-22,53
2021-08-29,74
