date,Sports_RO
2018-01-07,73
2018-01-14,80
2018-01-21,91
2018-01-28,82
2018-02-04,79
2018-02-11,91
2018-02-18,85
2018-02-25,75
2018-03-04,90
2018-03-11,93
2018-03-18,76
2018-03-25,80
2018-04-01,89
2018-04-08,90
2018-04-15,91
2018-04-22,91
2018-04-29,87
2018-05-06,89
2018-05-13,87
2018-05-20,93
2018-05-27,83
2018-06-03,100
2018-06-10,74
2018-06-17,57
2018-06-24,51
2018-07-01,57
2018-07-08,51
2018-07-15,47
2018-07-22,54
2018-07-29,59
2018-08-05,58
2018-08-12,67
2018-08-19,58
2018-08-26,57
2018-09-02,62
2018-09-09,62
2018-09-16,61
2018-09-23,62
2018-09-30,59
2018-10-07,56
2018-10-14,58
2018-10-21,54
2018-10-28,53
2018-11-04,53
2018-11-11,51
2018-11-18,52
2018-11-25,52
2018-12-02,51
2018-12-09,64
2018-12-16,63
2018-12-23,56
2018-12-30,59
2019-01-06,69
2019-01-13,73
2019-01-20,66
2019-01-27,63
2019-02-03,71
2019-02-10,77
2019-02-17,76
2019-02-24,76
2019-03-03,72
2019-03-10,68
2019-03-17,73
2019-03-24,80
2019-03-31,77
2019-04-07,73
2019-04-14,70
2019-04-21,67
2019-04-28,64
2019-05-05,71
2019-05-12,65
2019-05-19,66
2019-05-26,66
2019-06-02,77
2019-06-09,68
2019-06-16,68
2019-06-23,70
2019-06-30,66
2019-07-07,72
2019-07-14,77
2019-07-21,76
2019-07-28,78
2019-08-04,74
2019-08-11,83
2019-08-18,81
2019-08-25,85
2019-09-01,77
2019-09-08,74
2019-09-15,71
2019-09-22,65
2019-09-29,70
2019-10-06,67
2019-10-13,70
2019-10-20,69
2019-10-27,67
2019-11-03,63
2019-11-10,67
2019-11-17,66
2019-11-24,59
2019-12-01,59
2019-12-08,63
2019-12-15,58
2019-12-22,57
2019-12-29,51
2020-01-05,55
2020-01-12,62
2020-01-19,64
2020-01-26,69
2020-02-02,61
2020-02-09,68
2020-02-16,72
2020-02-23,67
2020-03-01,66
2020-03-08,58
