date,Performing_Art_DK
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,29
2020-04-26,0
2020-05-03,58
2020-05-10,0
2020-05-17,0
2020-05-24,29
2020-05-31,0
2020-06-07,28
2020-06-14,90
2020-06-21,0
2020-06-28,0
2020-07-05,32
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,32
2020-08-16,30
2020-08-23,59
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,64
2020-11-15,31
2020-11-22,0
2020-11-29,63
2020-12-06,31
2020-12-13,0
2020-12-20,37
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,62
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,30
2021-03-21,31
2021-03-28,0
2021-04-04,32
2021-04-11,0
2021-04-18,33
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,100
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,35
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,34
2021-08-22,0
2021-08-29,37
