date,Sports_US
2020-03-15,63
2020-03-22,59
2020-03-29,56
2020-04-05,57
2020-04-12,63
2020-04-19,62
2020-04-26,66
2020-05-03,64
2020-05-10,68
2020-05-17,67
2020-05-24,66
2020-05-31,68
2020-06-07,69
2020-06-14,71
2020-06-21,71
2020-06-28,71
2020-07-05,74
2020-07-12,80
2020-07-19,88
2020-07-26,84
2020-08-02,85
2020-08-09,83
2020-08-16,84
2020-08-23,82
2020-08-30,83
2020-09-06,92
2020-09-13,100
2020-09-20,95
2020-09-27,98
2020-10-04,96
2020-10-11,92
2020-10-18,95
2020-10-25,88
2020-11-01,71
2020-11-08,81
2020-11-15,85
2020-11-22,94
2020-11-29,90
2020-12-06,92
2020-12-13,89
2020-12-20,90
2020-12-27,90
2021-01-03,85
2021-01-10,90
2021-01-17,91
2021-01-24,88
2021-01-31,86
2021-02-07,90
2021-02-14,81
2021-02-21,78
2021-02-28,84
2021-03-07,82
2021-03-14,85
2021-03-21,89
2021-03-28,92
2021-04-04,90
2021-04-11,86
2021-04-18,87
2021-04-25,84
2021-05-02,87
2021-05-09,85
2021-05-16,89
2021-05-23,87
2021-05-30,89
2021-06-06,93
2021-06-13,89
2021-06-20,88
2021-06-27,88
2021-07-04,88
2021-07-11,84
2021-07-18,92
2021-07-25,96
2021-08-01,92
2021-08-08,90
2021-08-15,88
2021-08-22,90
2021-08-29,98
