date,Crafts_TR
2020-03-15,60
2020-03-22,58
2020-03-29,67
2020-04-05,47
2020-04-12,56
2020-04-19,65
2020-04-26,64
2020-05-03,71
2020-05-10,50
2020-05-17,64
2020-05-24,51
2020-05-31,57
2020-06-07,59
2020-06-14,50
2020-06-21,48
2020-06-28,46
2020-07-05,47
2020-07-12,42
2020-07-19,52
2020-07-26,42
2020-08-02,62
2020-08-09,40
2020-08-16,40
2020-08-23,59
2020-08-30,67
2020-09-06,53
2020-09-13,73
2020-09-20,80
2020-09-27,51
2020-10-04,77
2020-10-11,47
2020-10-18,60
2020-10-25,47
2020-11-01,65
2020-11-08,86
2020-11-15,46
2020-11-22,55
2020-11-29,71
2020-12-06,68
2020-12-13,82
2020-12-20,46
2020-12-27,34
2021-01-03,44
2021-01-10,85
2021-01-17,62
2021-01-24,54
2021-01-31,54
2021-02-07,56
2021-02-14,55
2021-02-21,100
2021-02-28,57
2021-03-07,75
2021-03-14,76
2021-03-21,41
2021-03-28,67
2021-04-04,45
2021-04-11,65
2021-04-18,45
2021-04-25,51
2021-05-02,58
2021-05-09,41
2021-05-16,46
2021-05-23,71
2021-05-30,53
2021-06-06,58
2021-06-13,50
2021-06-20,62
2021-06-27,69
2021-07-04,17
2021-07-11,32
2021-07-18,54
2021-07-25,60
2021-08-01,30
2021-08-08,49
2021-08-15,33
2021-08-22,42
2021-08-29,56
