date,Game_AE
2020-03-15,29
2020-03-22,35
2020-03-29,35
2020-04-05,39
2020-04-12,40
2020-04-19,35
2020-04-26,70
2020-05-03,100
2020-05-10,38
2020-05-17,32
2020-05-24,35
2020-05-31,34
2020-06-07,34
2020-06-14,34
2020-06-21,38
2020-06-28,36
2020-07-05,30
2020-07-12,28
2020-07-19,28
2020-07-26,30
2020-08-02,27
2020-08-09,27
2020-08-16,27
2020-08-23,29
2020-08-30,32
2020-09-06,31
2020-09-13,33
2020-09-20,32
2020-09-27,30
2020-10-04,28
2020-10-11,29
2020-10-18,29
2020-10-25,27
2020-11-01,27
2020-11-08,26
2020-11-15,27
2020-11-22,28
2020-11-29,26
2020-12-06,27
2020-12-13,25
2020-12-20,24
2020-12-27,27
2021-01-03,28
2021-01-10,28
2021-01-17,28
2021-01-24,25
2021-01-31,26
2021-02-07,27
2021-02-14,26
2021-02-21,25
2021-02-28,29
2021-03-07,29
2021-03-14,27
2021-03-21,27
2021-03-28,24
2021-04-04,27
2021-04-11,26
2021-04-18,30
2021-04-25,30
2021-05-02,28
2021-05-09,27
2021-05-16,30
2021-05-23,33
2021-05-30,31
2021-06-06,31
2021-06-13,30
2021-06-20,32
2021-06-27,32
2021-07-04,26
2021-07-11,28
2021-07-18,31
2021-07-25,27
2021-08-01,29
2021-08-08,26
2021-08-15,22
2021-08-22,26
2021-08-29,32
