date,Learning_IL
2020-03-15,100
2020-03-22,52
2020-03-29,60
2020-04-05,89
2020-04-12,88
2020-04-19,64
2020-04-26,65
2020-05-03,65
2020-05-10,62
2020-05-17,62
2020-05-24,59
2020-05-31,54
2020-06-07,69
2020-06-14,56
2020-06-21,62
2020-06-28,63
2020-07-05,52
2020-07-12,51
2020-07-19,85
2020-07-26,46
2020-08-02,76
2020-08-09,67
2020-08-16,34
2020-08-23,44
2020-08-30,72
2020-09-06,67
2020-09-13,37
2020-09-20,79
2020-09-27,56
2020-10-04,54
2020-10-11,76
2020-10-18,44
2020-10-25,54
2020-11-01,55
2020-11-08,49
2020-11-15,56
2020-11-22,35
2020-11-29,52
2020-12-06,45
2020-12-13,52
2020-12-20,41
2020-12-27,57
2021-01-03,45
2021-01-10,53
2021-01-17,40
2021-01-24,33
2021-01-31,36
2021-02-07,63
2021-02-14,35
2021-02-21,47
2021-02-28,41
2021-03-07,63
2021-03-14,41
2021-03-21,34
2021-03-28,47
2021-04-04,49
2021-04-11,54
2021-04-18,54
2021-04-25,38
2021-05-02,37
2021-05-09,44
2021-05-16,46
2021-05-23,44
2021-05-30,38
2021-06-06,46
2021-06-13,39
2021-06-20,56
2021-06-27,51
2021-07-04,47
2021-07-11,71
2021-07-18,44
2021-07-25,49
2021-08-01,30
2021-08-08,44
2021-08-15,45
2021-08-22,56
2021-08-29,61
