date,Cooking_FI
2020-03-15,46
2020-03-22,35
2020-03-29,42
2020-04-05,57
2020-04-12,100
2020-04-19,59
2020-04-26,53
2020-05-03,49
2020-05-10,52
2020-05-17,33
2020-05-24,41
2020-05-31,44
2020-06-07,30
2020-06-14,77
2020-06-21,36
2020-06-28,44
2020-07-05,60
2020-07-12,57
2020-07-19,31
2020-07-26,44
2020-08-02,27
2020-08-09,43
2020-08-16,50
2020-08-23,41
2020-08-30,62
2020-09-06,30
2020-09-13,45
2020-09-20,23
2020-09-27,39
2020-10-04,55
2020-10-11,34
2020-10-18,43
2020-10-25,37
2020-11-01,28
2020-11-08,41
2020-11-15,54
2020-11-22,36
2020-11-29,45
2020-12-06,58
2020-12-13,68
2020-12-20,69
2020-12-27,57
2021-01-03,50
2021-01-10,42
2021-01-17,37
2021-01-24,58
2021-01-31,50
2021-02-07,34
2021-02-14,58
2021-02-21,46
2021-02-28,25
2021-03-07,25
2021-03-14,32
2021-03-21,41
2021-03-28,78
2021-04-04,53
2021-04-11,42
2021-04-18,50
2021-04-25,42
2021-05-02,37
2021-05-09,26
2021-05-16,24
2021-05-23,25
2021-05-30,22
2021-06-06,35
2021-06-13,30
2021-06-20,32
2021-06-27,50
2021-07-04,36
2021-07-11,40
2021-07-18,31
2021-07-25,35
2021-08-01,35
2021-08-08,52
2021-08-15,59
2021-08-22,48
2021-08-29,43
