date,Collecting_EG
2020-03-15,54
2020-03-22,79
2020-03-29,16
2020-04-05,47
2020-04-12,32
2020-04-19,44
2020-04-26,71
2020-05-03,59
2020-05-10,44
2020-05-17,36
2020-05-24,58
2020-05-31,56
2020-06-07,51
2020-06-14,70
2020-06-21,63
2020-06-28,64
2020-07-05,48
2020-07-12,19
2020-07-19,71
2020-07-26,21
2020-08-02,73
2020-08-09,83
2020-08-16,38
2020-08-23,38
2020-08-30,46
2020-09-06,47
2020-09-13,67
2020-09-20,48
2020-09-27,58
2020-10-04,29
2020-10-11,40
2020-10-18,49
2020-10-25,78
2020-11-01,57
2020-11-08,68
2020-11-15,68
2020-11-22,38
2020-11-29,48
2020-12-06,47
2020-12-13,81
2020-12-20,48
2020-12-27,28
2021-01-03,36
2021-01-10,81
2021-01-17,37
2021-01-24,67
2021-01-31,100
2021-02-07,71
2021-02-14,27
2021-02-21,90
2021-02-28,28
2021-03-07,37
2021-03-14,18
2021-03-21,47
2021-03-28,48
2021-04-04,54
2021-04-11,67
2021-04-18,36
2021-04-25,62
2021-05-02,71
2021-05-09,36
2021-05-16,42
2021-05-23,79
2021-05-30,45
2021-06-06,47
2021-06-13,26
2021-06-20,45
2021-06-27,64
2021-07-04,83
2021-07-11,47
2021-07-18,40
2021-07-25,88
2021-08-01,46
2021-08-08,55
2021-08-15,35
2021-08-22,38
2021-08-29,20
