date,Sports_FI
2020-03-15,39
2020-03-22,36
2020-03-29,34
2020-04-05,36
2020-04-12,37
2020-04-19,27
2020-04-26,33
2020-05-03,37
2020-05-10,36
2020-05-17,31
2020-05-24,38
2020-05-31,36
2020-06-07,42
2020-06-14,40
2020-06-21,38
2020-06-28,39
2020-07-05,47
2020-07-12,50
2020-07-19,48
2020-07-26,53
2020-08-02,64
2020-08-09,67
2020-08-16,48
2020-08-23,50
2020-08-30,51
2020-09-06,61
2020-09-13,59
2020-09-20,59
2020-09-27,70
2020-10-04,50
2020-10-11,63
2020-10-18,60
2020-10-25,45
2020-11-01,46
2020-11-08,56
2020-11-15,54
2020-11-22,59
2020-11-29,64
2020-12-06,45
2020-12-13,57
2020-12-20,41
2020-12-27,56
2021-01-03,60
2021-01-10,55
2021-01-17,61
2021-01-24,71
2021-01-31,83
2021-02-07,79
2021-02-14,67
2021-02-21,75
2021-02-28,100
2021-03-07,63
2021-03-14,56
2021-03-21,60
2021-03-28,62
2021-04-04,57
2021-04-11,54
2021-04-18,47
2021-04-25,54
2021-05-02,60
2021-05-09,57
2021-05-16,58
2021-05-23,64
2021-05-30,77
2021-06-06,79
2021-06-13,70
2021-06-20,75
2021-06-27,86
2021-07-04,69
2021-07-11,59
2021-07-18,63
2021-07-25,79
2021-08-01,97
2021-08-08,55
2021-08-15,60
2021-08-22,67
2021-08-29,76
