date,Learning_CH
2020-03-15,87
2020-03-22,76
2020-03-29,76
2020-04-05,69
2020-04-12,71
2020-04-19,100
2020-04-26,81
2020-05-03,79
2020-05-10,77
2020-05-17,70
2020-05-24,58
2020-05-31,69
2020-06-07,81
2020-06-14,53
2020-06-21,76
2020-06-28,94
2020-07-05,62
2020-07-12,59
2020-07-19,44
2020-07-26,62
2020-08-02,53
2020-08-09,63
2020-08-16,75
2020-08-23,79
2020-08-30,61
2020-09-06,67
2020-09-13,88
2020-09-20,75
2020-09-27,63
2020-10-04,51
2020-10-11,60
2020-10-18,65
2020-10-25,65
2020-11-01,54
2020-11-08,47
2020-11-15,56
2020-11-22,57
2020-11-29,58
2020-12-06,54
2020-12-13,47
2020-12-20,61
2020-12-27,39
2021-01-03,64
2021-01-10,66
2021-01-17,62
2021-01-24,77
2021-01-31,69
2021-02-07,62
2021-02-14,65
2021-02-21,67
2021-02-28,48
2021-03-07,66
2021-03-14,65
2021-03-21,47
2021-03-28,47
2021-04-04,60
2021-04-11,40
2021-04-18,59
2021-04-25,65
2021-05-02,44
2021-05-09,48
2021-05-16,48
2021-05-23,51
2021-05-30,59
2021-06-06,55
2021-06-13,29
2021-06-20,37
2021-06-27,61
2021-07-04,61
2021-07-11,53
2021-07-18,41
2021-07-25,47
2021-08-01,36
2021-08-08,63
2021-08-15,67
2021-08-22,37
2021-08-29,62
