date,Sports_CN
2020-03-15,46
2020-03-22,38
2020-03-29,41
2020-04-05,43
2020-04-12,29
2020-04-19,32
2020-04-26,29
2020-05-03,45
2020-05-10,44
2020-05-17,58
2020-05-24,33
2020-05-31,32
2020-06-07,44
2020-06-14,67
2020-06-21,42
2020-06-28,40
2020-07-05,50
2020-07-12,38
2020-07-19,37
2020-07-26,57
2020-08-02,64
2020-08-09,63
2020-08-16,53
2020-08-23,57
2020-08-30,67
2020-09-06,59
2020-09-13,60
2020-09-20,63
2020-09-27,43
2020-10-04,86
2020-10-11,58
2020-10-18,67
2020-10-25,55
2020-11-01,59
2020-11-08,48
2020-11-15,36
2020-11-22,67
2020-11-29,24
2020-12-06,74
2020-12-13,46
2020-12-20,36
2020-12-27,59
2021-01-03,56
2021-01-10,58
2021-01-17,58
2021-01-24,34
2021-01-31,54
2021-02-07,65
2021-02-14,71
2021-02-21,57
2021-02-28,59
2021-03-07,80
2021-03-14,35
2021-03-21,48
2021-03-28,35
2021-04-04,58
2021-04-11,56
2021-04-18,66
2021-04-25,42
2021-05-02,61
2021-05-09,51
2021-05-16,55
2021-05-23,67
2021-05-30,54
2021-06-06,73
2021-06-13,100
2021-06-20,67
2021-06-27,62
2021-07-04,39
2021-07-11,50
2021-07-18,52
2021-07-25,92
2021-08-01,99
2021-08-08,43
2021-08-15,44
2021-08-22,59
2021-08-29,51
