date,Cooking_CA
2020-03-15,38
2020-03-22,46
2020-03-29,50
2020-04-05,57
2020-04-12,68
2020-04-19,55
2020-04-26,50
2020-05-03,52
2020-05-10,55
2020-05-17,51
2020-05-24,44
2020-05-31,43
2020-06-07,45
2020-06-14,44
2020-06-21,44
2020-06-28,43
2020-07-05,42
2020-07-12,42
2020-07-19,45
2020-07-26,45
2020-08-02,44
2020-08-09,43
2020-08-16,42
2020-08-23,43
2020-08-30,40
2020-09-06,44
2020-09-13,43
2020-09-20,40
2020-09-27,43
2020-10-04,61
2020-10-11,75
2020-10-18,49
2020-10-25,46
2020-11-01,40
2020-11-08,42
2020-11-15,43
2020-11-22,45
2020-11-29,48
2020-12-06,48
2020-12-13,50
2020-12-20,100
2020-12-27,64
2021-01-03,47
2021-01-10,48
2021-01-17,51
2021-01-24,46
2021-01-31,49
2021-02-07,49
2021-02-14,49
2021-02-21,43
2021-02-28,45
2021-03-07,43
2021-03-14,42
2021-03-21,41
2021-03-28,52
2021-04-04,54
2021-04-11,42
2021-04-18,42
2021-04-25,44
2021-05-02,46
2021-05-09,46
2021-05-16,42
2021-05-23,43
2021-05-30,39
2021-06-06,36
2021-06-13,41
2021-06-20,38
2021-06-27,38
2021-07-04,38
2021-07-11,42
2021-07-18,40
2021-07-25,40
2021-08-01,40
2021-08-08,46
2021-08-15,43
2021-08-22,39
2021-08-29,41
