date,Pets_CL
2020-03-15,63
2020-03-22,70
2020-03-29,61
2020-04-05,74
2020-04-12,74
2020-04-19,77
2020-04-26,68
2020-05-03,75
2020-05-10,83
2020-05-17,79
2020-05-24,95
2020-05-31,68
2020-06-07,69
2020-06-14,79
2020-06-21,71
2020-06-28,79
2020-07-05,81
2020-07-12,85
2020-07-19,81
2020-07-26,66
2020-08-02,70
2020-08-09,73
2020-08-16,82
2020-08-23,77
2020-08-30,70
2020-09-06,76
2020-09-13,75
2020-09-20,91
2020-09-27,77
2020-10-04,80
2020-10-11,88
2020-10-18,81
2020-10-25,81
2020-11-01,71
2020-11-08,79
2020-11-15,79
2020-11-22,72
2020-11-29,73
2020-12-06,76
2020-12-13,81
2020-12-20,83
2020-12-27,61
2021-01-03,79
2021-01-10,74
2021-01-17,82
2021-01-24,75
2021-01-31,80
2021-02-07,83
2021-02-14,100
2021-02-21,86
2021-02-28,83
2021-03-07,72
2021-03-14,75
2021-03-21,79
2021-03-28,80
2021-04-04,76
2021-04-11,75
2021-04-18,69
2021-04-25,76
2021-05-02,72
2021-05-09,72
2021-05-16,68
2021-05-23,79
2021-05-30,86
2021-06-06,86
2021-06-13,87
2021-06-20,84
2021-06-27,66
2021-07-04,87
2021-07-11,80
2021-07-18,81
2021-07-25,78
2021-08-01,99
2021-08-08,82
2021-08-15,83
2021-08-22,94
2021-08-29,83
