date,Crafts_MX
2020-03-15,59
2020-03-22,78
2020-03-29,75
2020-04-05,61
2020-04-12,60
2020-04-19,74
2020-04-26,87
2020-05-03,91
2020-05-10,87
2020-05-17,68
2020-05-24,79
2020-05-31,86
2020-06-07,54
2020-06-14,45
2020-06-21,52
2020-06-28,53
2020-07-05,43
2020-07-12,43
2020-07-19,37
2020-07-26,45
2020-08-02,42
2020-08-09,47
2020-08-16,51
2020-08-23,71
2020-08-30,63
2020-09-06,70
2020-09-13,39
2020-09-20,77
2020-09-27,96
2020-10-04,89
2020-10-11,88
2020-10-18,66
2020-10-25,67
2020-11-01,78
2020-11-08,54
2020-11-15,71
2020-11-22,75
2020-11-29,58
2020-12-06,99
2020-12-13,50
2020-12-20,25
2020-12-27,27
2021-01-03,45
2021-01-10,64
2021-01-17,54
2021-01-24,69
2021-01-31,65
2021-02-07,100
2021-02-14,57
2021-02-21,75
2021-02-28,63
2021-03-07,79
2021-03-14,55
2021-03-21,71
2021-03-28,44
2021-04-04,46
2021-04-11,58
2021-04-18,70
2021-04-25,61
2021-05-02,80
2021-05-09,99
2021-05-16,64
2021-05-23,47
2021-05-30,64
2021-06-06,55
2021-06-13,67
2021-06-20,66
2021-06-27,58
2021-07-04,57
2021-07-11,40
2021-07-18,43
2021-07-25,58
2021-08-01,37
2021-08-08,53
2021-08-15,35
2021-08-22,33
2021-08-29,50
