date,Sports_VN
2020-03-15,47
2020-03-22,38
2020-03-29,41
2020-04-05,40
2020-04-12,36
2020-04-19,37
2020-04-26,36
2020-05-03,38
2020-05-10,36
2020-05-17,36
2020-05-24,42
2020-05-31,45
2020-06-07,44
2020-06-14,46
2020-06-21,54
2020-06-28,57
2020-07-05,58
2020-07-12,62
2020-07-19,62
2020-07-26,51
2020-08-02,49
2020-08-09,52
2020-08-16,51
2020-08-23,52
2020-08-30,52
2020-09-06,54
2020-09-13,57
2020-09-20,60
2020-09-27,62
2020-10-04,62
2020-10-11,53
2020-10-18,60
2020-10-25,58
2020-11-01,57
2020-11-08,56
2020-11-15,54
2020-11-22,58
2020-11-29,60
2020-12-06,61
2020-12-13,56
2020-12-20,59
2020-12-27,60
2021-01-03,56
2021-01-10,56
2021-01-17,61
2021-01-24,62
2021-01-31,53
2021-02-07,58
2021-02-14,57
2021-02-21,52
2021-02-28,53
2021-03-07,63
2021-03-14,57
2021-03-21,57
2021-03-28,58
2021-04-04,63
2021-04-11,69
2021-04-18,62
2021-04-25,63
2021-05-02,63
2021-05-09,54
2021-05-16,55
2021-05-23,60
2021-05-30,66
2021-06-06,93
2021-06-13,100
2021-06-20,80
2021-06-27,85
2021-07-04,65
2021-07-11,53
2021-07-18,47
2021-07-25,53
2021-08-01,53
2021-08-08,57
2021-08-15,55
2021-08-22,57
2021-08-29,65
