date,Sports_AT
2020-03-15,36
2020-03-22,38
2020-03-29,36
2020-04-05,31
2020-04-12,39
2020-04-19,34
2020-04-26,36
2020-05-03,32
2020-05-10,36
2020-05-17,39
2020-05-24,38
2020-05-31,42
2020-06-07,45
2020-06-14,49
2020-06-21,49
2020-06-28,53
2020-07-05,51
2020-07-12,48
2020-07-19,45
2020-07-26,40
2020-08-02,50
2020-08-09,53
2020-08-16,55
2020-08-23,50
2020-08-30,51
2020-09-06,61
2020-09-13,64
2020-09-20,53
2020-09-27,67
2020-10-04,66
2020-10-11,55
2020-10-18,67
2020-10-25,59
2020-11-01,52
2020-11-08,50
2020-11-15,58
2020-11-22,65
2020-11-29,58
2020-12-06,62
2020-12-13,62
2020-12-20,60
2020-12-27,57
2021-01-03,67
2021-01-10,57
2021-01-17,62
2021-01-24,74
2021-01-31,61
2021-02-07,78
2021-02-14,100
2021-02-21,70
2021-02-28,77
2021-03-07,68
2021-03-14,63
2021-03-21,56
2021-03-28,58
2021-04-04,54
2021-04-11,59
2021-04-18,53
2021-04-25,50
2021-05-02,56
2021-05-09,61
2021-05-16,57
2021-05-23,51
2021-05-30,62
2021-06-06,63
2021-06-13,98
2021-06-20,89
2021-06-27,84
2021-07-04,63
2021-07-11,51
2021-07-18,53
2021-07-25,68
2021-08-01,67
2021-08-08,57
2021-08-15,60
2021-08-22,64
2021-08-29,67
