date,Arts_FI
2020-03-15,54
2020-03-22,65
2020-03-29,78
2020-04-05,77
2020-04-12,67
2020-04-19,69
2020-04-26,60
2020-05-03,69
2020-05-10,72
2020-05-17,67
2020-05-24,44
2020-05-31,47
2020-06-07,44
2020-06-14,45
2020-06-21,46
2020-06-28,49
2020-07-05,75
2020-07-12,58
2020-07-19,56
2020-07-26,68
2020-08-02,58
2020-08-09,64
2020-08-16,62
2020-08-23,64
2020-08-30,54
2020-09-06,56
2020-09-13,51
2020-09-20,54
2020-09-27,49
2020-10-04,60
2020-10-11,72
2020-10-18,59
2020-10-25,67
2020-11-01,58
2020-11-08,50
2020-11-15,73
2020-11-22,55
2020-11-29,60
2020-12-06,58
2020-12-13,61
2020-12-20,57
2020-12-27,61
2021-01-03,66
2021-01-10,59
2021-01-17,56
2021-01-24,62
2021-01-31,63
2021-02-07,56
2021-02-14,60
2021-02-21,43
2021-02-28,43
2021-03-07,69
2021-03-14,79
2021-03-21,58
2021-03-28,65
2021-04-04,66
2021-04-11,57
2021-04-18,51
2021-04-25,100
2021-05-02,85
2021-05-09,87
2021-05-16,70
2021-05-23,85
2021-05-30,54
2021-06-06,55
2021-06-13,61
2021-06-20,51
2021-06-27,50
2021-07-04,42
2021-07-11,54
2021-07-18,51
2021-07-25,56
2021-08-01,65
2021-08-08,76
2021-08-15,61
2021-08-22,74
2021-08-29,72
