date,Performing_Art_AU
2020-03-15,57
2020-03-22,59
2020-03-29,58
2020-04-05,27
2020-04-12,28
2020-04-19,33
2020-04-26,46
2020-05-03,26
2020-05-10,48
2020-05-17,54
2020-05-24,34
2020-05-31,21
2020-06-07,21
2020-06-14,100
2020-06-21,64
2020-06-28,52
2020-07-05,38
2020-07-12,23
2020-07-19,81
2020-07-26,52
2020-08-02,43
2020-08-09,72
2020-08-16,37
2020-08-23,22
2020-08-30,43
2020-09-06,66
2020-09-13,51
2020-09-20,69
2020-09-27,66
2020-10-04,65
2020-10-11,17
2020-10-18,42
2020-10-25,50
2020-11-01,46
2020-11-08,17
2020-11-15,50
2020-11-22,41
2020-11-29,42
2020-12-06,43
2020-12-13,34
2020-12-20,18
2020-12-27,61
2021-01-03,48
2021-01-10,66
2021-01-17,25
2021-01-24,67
2021-01-31,41
2021-02-07,33
2021-02-14,17
2021-02-21,17
2021-02-28,78
2021-03-07,43
2021-03-14,48
2021-03-21,59
2021-03-28,78
2021-04-04,25
2021-04-11,42
2021-04-18,74
2021-04-25,33
2021-05-02,57
2021-05-09,41
2021-05-16,75
2021-05-23,41
2021-05-30,73
2021-06-06,48
2021-06-13,74
2021-06-20,65
2021-06-27,32
2021-07-04,48
2021-07-11,47
2021-07-18,79
2021-07-25,39
2021-08-01,31
2021-08-08,55
2021-08-15,46
2021-08-22,26
2021-08-29,56
