date,Sports_ID
2018-01-07,52
2018-01-14,54
2018-01-21,54
2018-01-28,52
2018-02-04,57
2018-02-11,54
2018-02-18,56
2018-02-25,61
2018-03-04,60
2018-03-11,60
2018-03-18,59
2018-03-25,50
2018-04-01,51
2018-04-08,56
2018-04-15,51
2018-04-22,56
2018-04-29,51
2018-05-06,51
2018-05-13,47
2018-05-20,57
2018-05-27,48
2018-06-03,42
2018-06-10,61
2018-06-17,100
2018-06-24,88
2018-07-01,76
2018-07-08,62
2018-07-15,68
2018-07-22,58
2018-07-29,57
2018-08-05,57
2018-08-12,65
2018-08-19,79
2018-08-26,93
2018-09-02,74
2018-09-09,70
2018-09-16,69
2018-09-23,71
2018-09-30,62
2018-10-07,61
2018-10-14,60
2018-10-21,63
2018-10-28,59
2018-11-04,57
2018-11-11,60
2018-11-18,61
2018-11-25,63
2018-12-02,67
2018-12-09,60
2018-12-16,52
2018-12-23,48
2018-12-30,50
2019-01-06,55
2019-01-13,56
2019-01-20,59
2019-01-27,60
2019-02-03,61
2019-02-10,66
2019-02-17,59
2019-02-24,67
2019-03-03,65
2019-03-10,67
2019-03-17,62
2019-03-24,59
2019-03-31,60
2019-04-07,63
2019-04-14,60
2019-04-21,49
2019-04-28,53
2019-05-05,53
2019-05-12,58
2019-05-19,57
2019-05-26,49
2019-06-02,47
2019-06-09,53
2019-06-16,57
2019-06-23,54
2019-06-30,56
2019-07-07,57
2019-07-14,61
2019-07-21,60
2019-07-28,61
2019-08-04,64
2019-08-11,63
2019-08-18,66
2019-08-25,65
2019-09-01,69
2019-09-08,63
2019-09-15,69
2019-09-22,70
2019-09-29,71
2019-10-06,71
2019-10-13,68
2019-10-20,76
2019-10-27,76
2019-11-03,73
2019-11-10,73
2019-11-17,71
2019-11-24,85
2019-12-01,96
2019-12-08,89
2019-12-15,75
2019-12-22,58
2019-12-29,54
2020-01-05,60
2020-01-12,66
2020-01-19,69
2020-01-26,64
2020-02-02,65
2020-02-09,62
2020-02-16,75
2020-02-23,75
2020-03-01,71
2020-03-08,77
