date,Arts_TH
2020-03-15,39
2020-03-22,30
2020-03-29,33
2020-04-05,27
2020-04-12,30
2020-04-19,25
2020-04-26,27
2020-05-03,26
2020-05-10,30
2020-05-17,46
2020-05-24,42
2020-05-31,35
2020-06-07,36
2020-06-14,38
2020-06-21,39
2020-06-28,42
2020-07-05,48
2020-07-12,55
2020-07-19,58
2020-07-26,46
2020-08-02,53
2020-08-09,49
2020-08-16,49
2020-08-23,51
2020-08-30,46
2020-09-06,50
2020-09-13,53
2020-09-20,52
2020-09-27,46
2020-10-04,49
2020-10-11,47
2020-10-18,45
2020-10-25,53
2020-11-01,48
2020-11-08,42
2020-11-15,32
2020-11-22,38
2020-11-29,39
2020-12-06,39
2020-12-13,40
2020-12-20,40
2020-12-27,30
2021-01-03,41
2021-01-10,46
2021-01-17,48
2021-01-24,48
2021-01-31,44
2021-02-07,42
2021-02-14,44
2021-02-21,45
2021-02-28,41
2021-03-07,52
2021-03-14,46
2021-03-21,52
2021-03-28,45
2021-04-04,31
2021-04-11,25
2021-04-18,31
2021-04-25,31
2021-05-02,25
2021-05-09,29
2021-05-16,28
2021-05-23,33
2021-05-30,38
2021-06-06,46
2021-06-13,46
2021-06-20,52
2021-06-27,49
2021-07-04,47
2021-07-11,54
2021-07-18,100
2021-07-25,55
2021-08-01,58
2021-08-08,51
2021-08-15,57
2021-08-22,53
2021-08-29,56
