date,Collecting_FR
2020-03-15,45
2020-03-22,67
2020-03-29,56
2020-04-05,60
2020-04-12,72
2020-04-19,60
2020-04-26,62
2020-05-03,63
2020-05-10,67
2020-05-17,68
2020-05-24,63
2020-05-31,66
2020-06-07,64
2020-06-14,69
2020-06-21,60
2020-06-28,59
2020-07-05,64
2020-07-12,58
2020-07-19,66
2020-07-26,72
2020-08-02,77
2020-08-09,73
2020-08-16,80
2020-08-23,77
2020-08-30,64
2020-09-06,68
2020-09-13,72
2020-09-20,65
2020-09-27,68
2020-10-04,64
2020-10-11,74
2020-10-18,71
2020-10-25,70
2020-11-01,67
2020-11-08,69
2020-11-15,79
2020-11-22,81
2020-11-29,81
2020-12-06,73
2020-12-13,75
2020-12-20,78
2020-12-27,100
2021-01-03,84
2021-01-10,93
2021-01-17,79
2021-01-24,73
2021-01-31,70
2021-02-07,67
2021-02-14,75
2021-02-21,68
2021-02-28,75
2021-03-07,71
2021-03-14,73
2021-03-21,71
2021-03-28,67
2021-04-04,67
2021-04-11,75
2021-04-18,78
2021-04-25,72
2021-05-02,74
2021-05-09,70
2021-05-16,73
2021-05-23,74
2021-05-30,69
2021-06-06,65
2021-06-13,60
2021-06-20,70
2021-06-27,47
2021-07-04,59
2021-07-11,71
2021-07-18,58
2021-07-25,65
2021-08-01,80
2021-08-08,85
2021-08-15,73
2021-08-22,77
2021-08-29,66
