date,Cooking_CN
2020-03-15,67
2020-03-22,77
2020-03-29,64
2020-04-05,40
2020-04-12,77
2020-04-19,76
2020-04-26,65
2020-05-03,55
2020-05-10,88
2020-05-17,39
2020-05-24,95
2020-05-31,58
2020-06-07,36
2020-06-14,86
2020-06-21,57
2020-06-28,23
2020-07-05,29
2020-07-12,58
2020-07-19,49
2020-07-26,50
2020-08-02,35
2020-08-09,12
2020-08-16,35
2020-08-23,80
2020-08-30,24
2020-09-06,35
2020-09-13,57
2020-09-20,46
2020-09-27,86
2020-10-04,78
2020-10-11,49
2020-10-18,85
2020-10-25,49
2020-11-01,39
2020-11-08,49
2020-11-15,72
2020-11-22,12
2020-11-29,85
2020-12-06,24
2020-12-13,37
2020-12-20,78
2020-12-27,45
2021-01-03,50
2021-01-10,25
2021-01-17,61
2021-01-24,75
2021-01-31,40
2021-02-07,100
2021-02-14,38
2021-02-21,43
2021-02-28,84
2021-03-07,28
2021-03-14,52
2021-03-21,27
2021-03-28,32
2021-04-04,47
2021-04-11,21
2021-04-18,22
2021-04-25,60
2021-05-02,14
2021-05-09,34
2021-05-16,34
2021-05-23,22
2021-05-30,33
2021-06-06,71
2021-06-13,30
2021-06-20,38
2021-06-27,61
2021-07-04,54
2021-07-11,16
2021-07-18,32
2021-07-25,27
2021-08-01,46
2021-08-08,10
2021-08-15,35
2021-08-22,47
2021-08-29,28
