date,Cooking_NL
2018-01-07,65
2018-01-14,66
2018-01-21,73
2018-01-28,71
2018-02-04,68
2018-02-11,64
2018-02-18,68
2018-02-25,69
2018-03-04,72
2018-03-11,65
2018-03-18,59
2018-03-25,82
2018-04-01,81
2018-04-08,77
2018-04-15,65
2018-04-22,79
2018-04-29,98
2018-05-06,91
2018-05-13,87
2018-05-20,79
2018-05-27,61
2018-06-03,76
2018-06-10,74
2018-06-17,61
2018-06-24,59
2018-07-01,59
2018-07-08,59
2018-07-15,52
2018-07-22,52
2018-07-29,63
2018-08-05,64
2018-08-12,67
2018-08-19,65
2018-08-26,70
2018-09-02,71
2018-09-09,72
2018-09-16,74
2018-09-23,68
2018-09-30,65
2018-10-07,75
2018-10-14,79
2018-10-21,75
2018-10-28,69
2018-11-04,74
2018-11-11,69
2018-11-18,70
2018-11-25,70
2018-12-02,68
2018-12-09,77
2018-12-16,71
2018-12-23,96
2018-12-30,72
2019-01-06,76
2019-01-13,83
2019-01-20,71
2019-01-27,69
2019-02-03,73
2019-02-10,65
2019-02-17,65
2019-02-24,64
2019-03-03,67
2019-03-10,61
2019-03-17,59
2019-03-24,66
2019-03-31,68
2019-04-07,83
2019-04-14,86
2019-04-21,94
2019-04-28,89
2019-05-05,88
2019-05-12,77
2019-05-19,71
2019-05-26,75
2019-06-02,71
2019-06-09,71
2019-06-16,53
2019-06-23,52
2019-06-30,59
2019-07-07,62
2019-07-14,76
2019-07-21,57
2019-07-28,63
2019-08-04,66
2019-08-11,77
2019-08-18,69
2019-08-25,59
2019-09-01,65
2019-09-08,67
2019-09-15,73
2019-09-22,69
2019-09-29,78
2019-10-06,78
2019-10-13,72
2019-10-20,65
2019-10-27,76
2019-11-03,81
2019-11-10,70
2019-11-17,72
2019-11-24,74
2019-12-01,61
2019-12-08,63
2019-12-15,71
2019-12-22,100
2019-12-29,71
2020-01-05,78
2020-01-12,78
2020-01-19,77
2020-01-26,72
2020-02-02,71
2020-02-09,66
2020-02-16,68
2020-02-23,66
2020-03-01,73
2020-03-08,66
