date,Arts_DK
2020-03-15,66
2020-03-22,63
2020-03-29,65
2020-04-05,54
2020-04-12,75
2020-04-19,64
2020-04-26,91
2020-05-03,58
2020-05-10,75
2020-05-17,74
2020-05-24,89
2020-05-31,82
2020-06-07,79
2020-06-14,68
2020-06-21,56
2020-06-28,73
2020-07-05,90
2020-07-12,78
2020-07-19,71
2020-07-26,90
2020-08-02,75
2020-08-09,63
2020-08-16,80
2020-08-23,92
2020-08-30,69
2020-09-06,76
2020-09-13,64
2020-09-20,79
2020-09-27,73
2020-10-04,75
2020-10-11,71
2020-10-18,79
2020-10-25,77
2020-11-01,74
2020-11-08,86
2020-11-15,66
2020-11-22,86
2020-11-29,70
2020-12-06,76
2020-12-13,64
2020-12-20,66
2020-12-27,55
2021-01-03,80
2021-01-10,73
2021-01-17,76
2021-01-24,74
2021-01-31,71
2021-02-07,66
2021-02-14,65
2021-02-21,62
2021-02-28,72
2021-03-07,67
2021-03-14,77
2021-03-21,72
2021-03-28,79
2021-04-04,75
2021-04-11,70
2021-04-18,63
2021-04-25,82
2021-05-02,80
2021-05-09,86
2021-05-16,78
2021-05-23,73
2021-05-30,77
2021-06-06,55
2021-06-13,67
2021-06-20,53
2021-06-27,63
2021-07-04,53
2021-07-11,68
2021-07-18,88
2021-07-25,75
2021-08-01,73
2021-08-08,81
2021-08-15,80
2021-08-22,66
2021-08-29,100
