date,Crafts_PL
2020-03-15,74
2020-03-22,66
2020-03-29,85
2020-04-05,68
2020-04-12,73
2020-04-19,77
2020-04-26,78
2020-05-03,56
2020-05-10,58
2020-05-17,50
2020-05-24,81
2020-05-31,39
2020-06-07,54
2020-06-14,75
2020-06-21,75
2020-06-28,50
2020-07-05,71
2020-07-12,58
2020-07-19,69
2020-07-26,53
2020-08-02,62
2020-08-09,74
2020-08-16,53
2020-08-23,46
2020-08-30,59
2020-09-06,59
2020-09-13,43
2020-09-20,49
2020-09-27,54
2020-10-04,45
2020-10-11,51
2020-10-18,66
2020-10-25,48
2020-11-01,64
2020-11-08,80
2020-11-15,50
2020-11-22,83
2020-11-29,77
2020-12-06,53
2020-12-13,52
2020-12-20,66
2020-12-27,48
2021-01-03,44
2021-01-10,76
2021-01-17,74
2021-01-24,49
2021-01-31,100
2021-02-07,38
2021-02-14,87
2021-02-21,74
2021-02-28,54
2021-03-07,38
2021-03-14,67
2021-03-21,70
2021-03-28,69
2021-04-04,65
2021-04-11,80
2021-04-18,69
2021-04-25,64
2021-05-02,78
2021-05-09,67
2021-05-16,59
2021-05-23,48
2021-05-30,66
2021-06-06,54
2021-06-13,41
2021-06-20,57
2021-06-27,60
2021-07-04,31
2021-07-11,51
2021-07-18,56
2021-07-25,60
2021-08-01,71
2021-08-08,73
2021-08-15,54
2021-08-22,67
2021-08-29,52
