date,Music_SA
2020-03-15,69
2020-03-22,74
2020-03-29,79
2020-04-05,67
2020-04-12,71
2020-04-19,72
2020-04-26,54
2020-05-03,53
2020-05-10,50
2020-05-17,60
2020-05-24,100
2020-05-31,66
2020-06-07,73
2020-06-14,65
2020-06-21,73
2020-06-28,69
2020-07-05,64
2020-07-12,62
2020-07-19,71
2020-07-26,76
2020-08-02,71
2020-08-09,72
2020-08-16,67
2020-08-23,56
2020-08-30,55
2020-09-06,49
2020-09-13,55
2020-09-20,72
2020-09-27,55
2020-10-04,58
2020-10-11,55
2020-10-18,52
2020-10-25,58
2020-11-01,59
2020-11-08,62
2020-11-15,61
2020-11-22,57
2020-11-29,54
2020-12-06,62
2020-12-13,67
2020-12-20,56
2020-12-27,64
2021-01-03,67
2021-01-10,65
2021-01-17,58
2021-01-24,54
2021-01-31,50
2021-02-07,52
2021-02-14,50
2021-02-21,55
2021-02-28,49
2021-03-07,56
2021-03-14,54
2021-03-21,51
2021-03-28,48
2021-04-04,55
2021-04-11,42
2021-04-18,44
2021-04-25,40
2021-05-02,33
2021-05-09,57
2021-05-16,63
2021-05-23,63
2021-05-30,52
2021-06-06,57
2021-06-13,61
2021-06-20,61
2021-06-27,61
2021-07-04,48
2021-07-11,46
2021-07-18,65
2021-07-25,57
2021-08-01,54
2021-08-08,54
2021-08-15,53
2021-08-22,55
2021-08-29,48
