date,Learning_RU
2018-01-07,50
2018-01-14,46
2018-01-21,55
2018-01-28,56
2018-02-04,44
2018-02-11,53
2018-02-18,58
2018-02-25,55
2018-03-04,48
2018-03-11,58
2018-03-18,47
2018-03-25,53
2018-04-01,48
2018-04-08,63
2018-04-15,57
2018-04-22,44
2018-04-29,40
2018-05-06,60
2018-05-13,56
2018-05-20,62
2018-05-27,61
2018-06-03,41
2018-06-10,44
2018-06-17,58
2018-06-24,56
2018-07-01,51
2018-07-08,57
2018-07-15,56
2018-07-22,51
2018-07-29,47
2018-08-05,72
2018-08-12,41
2018-08-19,49
2018-08-26,75
2018-09-02,71
2018-09-09,80
2018-09-16,79
2018-09-23,75
2018-09-30,70
2018-10-07,74
2018-10-14,87
2018-10-21,86
2018-10-28,71
2018-11-04,87
2018-11-11,77
2018-11-18,63
2018-11-25,85
2018-12-02,85
2018-12-09,71
2018-12-16,81
2018-12-23,56
2018-12-30,57
2019-01-06,64
2019-01-13,66
2019-01-20,58
2019-01-27,66
2019-02-03,70
2019-02-10,68
2019-02-17,68
2019-02-24,99
2019-03-03,67
2019-03-10,72
2019-03-17,82
2019-03-24,95
2019-03-31,100
2019-04-07,90
2019-04-14,89
2019-04-21,83
2019-04-28,83
2019-05-05,84
2019-05-12,84
2019-05-19,72
2019-05-26,80
2019-06-02,96
2019-06-09,92
2019-06-16,70
2019-06-23,67
2019-06-30,81
2019-07-07,81
2019-07-14,92
2019-07-21,67
2019-07-28,62
2019-08-04,77
2019-08-11,71
2019-08-18,69
2019-08-25,62
2019-09-01,81
2019-09-08,76
2019-09-15,85
2019-09-22,95
2019-09-29,65
2019-10-06,70
2019-10-13,91
2019-10-20,69
2019-10-27,74
2019-11-03,83
2019-11-10,87
2019-11-17,77
2019-11-24,70
2019-12-01,81
2019-12-08,69
2019-12-15,60
2019-12-22,82
2019-12-29,61
2020-01-05,61
2020-01-12,77
2020-01-19,66
2020-01-26,65
2020-02-02,70
2020-02-09,74
2020-02-16,89
2020-02-23,92
2020-03-01,81
2020-03-08,73
