date,Learning_BR
2020-03-15,65
2020-03-22,100
2020-03-29,88
2020-04-05,69
2020-04-12,81
2020-04-19,75
2020-04-26,73
2020-05-03,72
2020-05-10,75
2020-05-17,79
2020-05-24,74
2020-05-31,71
2020-06-07,62
2020-06-14,79
2020-06-21,78
2020-06-28,83
2020-07-05,86
2020-07-12,82
2020-07-19,74
2020-07-26,69
2020-08-02,81
2020-08-09,72
2020-08-16,70
2020-08-23,78
2020-08-30,97
2020-09-06,68
2020-09-13,65
2020-09-20,68
2020-09-27,79
2020-10-04,63
2020-10-11,68
2020-10-18,78
2020-10-25,56
2020-11-01,71
2020-11-08,59
2020-11-15,53
2020-11-22,61
2020-11-29,54
2020-12-06,56
2020-12-13,45
2020-12-20,47
2020-12-27,50
2021-01-03,54
2021-01-10,51
2021-01-17,55
2021-01-24,53
2021-01-31,53
2021-02-07,51
2021-02-14,54
2021-02-21,55
2021-02-28,62
2021-03-07,59
2021-03-14,69
2021-03-21,67
2021-03-28,63
2021-04-04,69
2021-04-11,60
2021-04-18,79
2021-04-25,69
2021-05-02,71
2021-05-09,56
2021-05-16,63
2021-05-23,60
2021-05-30,65
2021-06-06,60
2021-06-13,57
2021-06-20,55
2021-06-27,54
2021-07-04,57
2021-07-11,69
2021-07-18,50
2021-07-25,52
2021-08-01,60
2021-08-08,61
2021-08-15,60
2021-08-22,60
2021-08-29,60
