date,Music_NG
2020-03-15,87
2020-03-22,86
2020-03-29,93
2020-04-05,96
2020-04-12,100
2020-04-19,92
2020-04-26,89
2020-05-03,87
2020-05-10,89
2020-05-17,90
2020-05-24,86
2020-05-31,84
2020-06-07,83
2020-06-14,79
2020-06-21,77
2020-06-28,74
2020-07-05,73
2020-07-12,78
2020-07-19,80
2020-07-26,83
2020-08-02,77
2020-08-09,77
2020-08-16,73
2020-08-23,78
2020-08-30,76
2020-09-06,72
2020-09-13,74
2020-09-20,71
2020-09-27,73
2020-10-04,76
2020-10-11,74
2020-10-18,66
2020-10-25,74
2020-11-01,66
2020-11-08,78
2020-11-15,83
2020-11-22,73
2020-11-29,75
2020-12-06,80
2020-12-13,76
2020-12-20,83
2020-12-27,79
2021-01-03,71
2021-01-10,68
2021-01-17,67
2021-01-24,62
2021-01-31,65
2021-02-07,64
2021-02-14,65
2021-02-21,63
2021-02-28,61
2021-03-07,61
2021-03-14,66
2021-03-21,67
2021-03-28,73
2021-04-04,60
2021-04-11,62
2021-04-18,60
2021-04-25,56
2021-05-02,56
2021-05-09,57
2021-05-16,57
2021-05-23,61
2021-05-30,63
2021-06-06,65
2021-06-13,61
2021-06-20,63
2021-06-27,58
2021-07-04,64
2021-07-11,64
2021-07-18,67
2021-07-25,58
2021-08-01,59
2021-08-08,64
2021-08-15,59
2021-08-22,57
2021-08-29,65
